studyID,title,year,comments_on_equations
Gurevitch5,The ontogeny of plant defense and herbivory: Characterizing general patterns using meta-analysis,2010,multiply by J
Gurevitch10,The impact of arbuscular mycorrhizal fungi on plant growth following herbivory: A search for pattern,2013,no equations presented
Gurevitch12,Herbivore vs. nutrient control of marine primary producers: Context-dependent effects,2006,multiply by a correction factor to account for differences in sample size among studies
Gurevitch15,The interaction between predation and competition: A review and synthesis,2002,no equations presented
Gurevitch17,Interactive and cumulative effects of multiple human stressors in marine systems,2008,multiply by J
Gurevitch21,Understanding of the impact of chemicals on amphibians: A meta-analytic review,2012,no equations presented
Gurevitch28,Consumer control as a common driver of coastal vegetation worldwide,2016,multiply by J
Gurevitch31,Top-down versus bottom-up control of autotrophic biomass - A meta-analysis on experiments with periphyton,2002,
Gurevitch32,Light regime and consumer control of autotrophic biomass,2005,
Gurevitch34,Net effects of multiple stressors in freshwater ecosystems: A meta-analysis,2016,
Gurevitch40,Multiple-stressor effects on freshwater fish: Importance of taxonomy and life stage,2018,
Gurevitch47,Geographical and experimental contexts modulate the effect of warming on top-down control: a meta-analysis,2018,
Gurevitch50,The influence of a salinity and nutrient gradient on coastal vs. upland tritrophic complexes,2004,
Gurevitch51,Direct and interactive effects of enemies and mutualists on plant performance: A meta-analysis,2007,
Gurevitch54,Reconceptualizing synergism and antagonism among multiple stressors,2015,
Gurevitch55,A review and meta-analysis of the effects of multiple abiotic stressors on marine embryos and larvae,2015,
Gurevitch67,Can parasites really reveal environmental impact?,2010,
Gurevitch68,UV effects that come and go: A global comparison of marine benthic community level impacts,2004,
Gurevitch70,Consumer versus resource control of species diversity and ecosystem functioning,2002,
Gurevitch77,Individual and combined effects of multiple global change drivers on terrestrial phosphorus pools: A meta-analysis,2018,
lnRR1,A cross-system synthesis of consumer and nutrient resource control on producer biomass,2008,see pic
lnRR4,"A meta-analysis of the effects of ultraviolet B radiation and its synergistic interactions with pH, contaminants, and disease on amphibian survival",2008,see pic
lnRR8,Direct and interactive effects of enemies and mutualists on plant performance: A meta-analysis,2007,
lnRR11,Fungal symbionts alter plant responses to global change,2013,see pic
lnRR26,Combined effects of arthropod herbivores and phytopathogens on plant performance,2013,
lnRR36,"Relative importance of competition and plantsoil feedback, their synergy, context dependency and implications for coexistence",2018,
lnRR37,Root and shoot competition: A meta-analysis,2013,
lnRR44,"Are global warming and ocean acidification conspiring against marine ectotherms? A meta-analysis of the respiratory effects of elevated temperature, high CO2 and their interaction",2016,
lnRR52,Does the growth response of woody plants to elevated CO2 increase with temperature? A model-oriented meta-analysis,2015,
lnRR54,Faster turnover of new soil carbon inputs under increased atmospheric CO2,2017,
