"label","title","author","journal","issn","volume","pages","year","doi","abstract","duplicate_group","n_duplicates"
"Acanakwo_2018_JoofVeSc","Termites confer resistance to changes in tree composition following reduced browsing in an African savanna","Acanakwo, E.F. and Okullo, P. and Sheil, D. and Moe, S.R.","Journal of Vegetation Science","11009233",NA,NA,"2018","10.1111/jvs.12682","Questions: Ungulates affect plant community structure and composition. Vegetation response to these effects are variable. Wild large herbivore populations are declining globally, but how tree communities respond to this change is not clear. We experimentally examined how tree communities respond to changes in ungulate abundance in a heterogeneous landscape. Location: Lake Mburo National Park, Uganda. Methods: We recorded tree species in nine replicate sites each with four treatment plots: fenced off-mound (excluding ungulates), unfenced off-mound, fenced and unfenced on-mound. Each species was assessed for fruit type, leafing strategy, spinescence and bark thickness. We compared tree communities on- and off-mound, with and without ungulates using PERMANOVA, and the effects of habitat, fencing and time on stem density and traits using generalized linear mixed effects model. Results: Stem density increased by 88% off-mound and 138% on-mound (p=0.005) with fencing, between 2006 and 2015. Whether tree communities occurred on- or off-mound determined species composition, but fencing had little effect. Tree traits were not markedly altered by fencing on-mound. Off-mound, fencing was associated with a 38% increase in the proportion of fleshy-fruited tree stems (p<0.001), 18% decline in armed tree stems (p=0.035) and a 44% reduction in mean bark thickness (p=0.001). Conclusion: Our study highlights the important role mounds play in maintaining tree community composition with declining ungulate abundance. While ungulates influence tree communities off-mounds they have little effect on tree composition and traits of mound-borne trees. Thus, Macrotermes mounds support distinct tree communities that are robust to exclusion of ungulates.  2018 International Association for Vegetation Science",1,1
"Agrawal_2004_AmJoofBo","Polymorphic buttonwood: Effects of disturbance on resistance to herbivores in green and silver morphs of a Bahamian shrub","Agrawal, A.A. and Spiller, D.A.","American Journal of Botany","00029122","91","1990-1997","2004","10.3732/ajb.91.12.1990","We studied consequences of storm damage on buttonwood (Conocarpus erectus) shrubs and their herbivores in the Bahamian islands. Buttonwood is polymorphic, with green shrubs producing few leaf trichomes and silver shrubs covered in dense trichomes. We first characterize traits of green vs. silver shrubs relevant for herbivores, and then assay damage by two prominent insects. Next, on replicated islands, we experimentally address how different types of storm damage (simulated hurricane surge damage vs. simulated intense wind) affected phenotypic traits of both buttonwood morphs and subsequent herbivory over a one-year sampling period. Our results show that although leaves produced by green shrubs are 21% tougher than leaves produced by silver shrubs, green leaves have 16% higher nitrogen concentrations and greater levels of herbivory. Consistent with previous observational studies of a natural hurricane at our study site, we found stronger effects of simulated surge damage than simulated wind damage. Experimental pruning of shrubs resulted in reduced toughness, higher nitrogen concentration, fewer trichomes, and greater herbivory compared to controls and compared to shrubs with their leaves stripped. The results were stronger for the silver compared to the green morph. Morph differences in buttonwood have strong consequences for herbivores, and these effects are modified by disturbance.",2,2
"Aguilar.Chama_2012_Oeco","Mycorrhizal colonization does not affect tolerance to defoliation of an annual herb in different light availability and soil fertility treatments but increases flower size in light-rich environments","Aguilar-Chama, A. and Guevara, R.","Oecologia","00298549","168","131-139","2012","10.1007/s00442-011-2066-1","Heterogeneous distribution of resources in most plant populations results in a mosaic of plant physiological responses tending to maximize plant fitness. This includes plant responses to trophic interactions such as herbivory and mycorrhizal symbiosis which are concurrent in most plants. We explored fitness costs of 50% manual defoliation and mycorrhizal inoculation in Datura stramonium at different light availability and soil fertility environments in a greenhouse experiment. Overall, we showed that non-inoculated and mycorrhiza-inoculated plants did not suffer from 50% manual defoliation in all the tested combinations of light availability and soil fertility treatments, while soil nutrients and light availability predominately affected plant responses to the mycorrhizal inoculation. Fifty percent defoliation had a direct negative effect on reproductive traits whereas mycorrhiza-inoculated plants produced larger flowers than non-inoculated plants when light was not a limiting factor. Although D. stramonium is a facultative selfing species, other investigations had shown clear advantages of cross-pollination in this species; therefore, the effects of mycorrhizal inoculation on flower size observed in this study open new lines of inquiry for our understanding of plant responses to trophic interactions. Also in this study, we detected shifts in the limiting resources affecting plant responses to trophic interactions.  2011 Springer-Verlag.",3,2
"Aikens_2015_AmJoofBo","Potential impacts of tolerance to herbivory on population dynamics of a monocarpic herb","Aikens, M.L. and Roach, D.A.","American Journal of Botany","00029122","102","1901-1911","2015","10.3732/ajb.1500198","PREMISE OF THE STUDY: Mammalian herbivores, particularly white-tailed deer, can have a major impact on plant abundance and distribution. However, plants can tolerate herbivory by increasing seed production or seed quality. We used the monocarpic perennial Prenanthes roanensis to examine tolerance to mammalian herbivory through seed quality and modeled the effects of tolerance on population growth rate. METHODS: We examined seed quality (proportion of viable seeds, seed mass, germination, and seedling size) on damaged and undamaged plants to determine the extent to which plants tolerate herbivory. We then varied seed quality parameters over a range of values in population models to compare population growth rates under no-tolerance conditions (herbivory, but no tolerance) to those under tolerance conditions. KEY RESULTS: In most populations, plants damaged by herbivores had a greater proportion of viable seeds per plant or a greater probability of seed germination. Incorporating observed tolerance into population models did not significantly increase population growth rate. However, at low germination rates, increased germination of seeds from damaged plants has the potential to significantly increase population growth rate. CONCLUSIONS: Damaged plants can compensate for loss of reproductive heads by increasing seed viability and germination rates in the remaining seeds. This study is one of the first to demonstrate that tolerance through seed quality has the potential to affect population growth rate. Our results suggest that incorporating tolerance into population models may help elucidate mechanisms by which plant populations persist despite herbivory.  2015 Botanical Society of America.",4,2
"AL.Khatib_2012_AsJoofPlPa","Response of Jordanian tomato land races to Fusarium oxysporum f. sp. lycopersici","AL-Khatib, M. and Brake, M. and Qaryouti, M. and Alhussaen, K. and Migdadi, H.","Asian Journal of Plant Pathology","18191541","6","75-80","2012","10.3923/ajppaj.2012.75.80","This study was conducted under green house conditions during summer growing seasons 2010 and 2011, to evaluate the response of 21 Jordanian tomato land races (accessions) against the vascular wilt fungus Fusarium oxysporum f.sp. lycopersici. Accessions were provided by the National Center for Agricultural Research and Extension (NCARE). Inoculation with the fungus was carried out by using the root dip method. Parameters considered in this study were discoloration, yellowing and fresh weight. Both discoloration and yellowing were measured, recorded according to 1-5 scale and their results ranged from 1-3.5, while fresh weight ranged from 33.1-76.5 g for treatments compared with 41.0-98.8 g for controls. Nine out of 21 studied tomato accessions were significantly different from other accessions and appeared to be resistant to the fungus under experimental conditions according to the 1-5 scale. Most of the resistant accessions were from the slow growing lines, while most of the fast growing accessions were susceptible. The study concluded that resistant accessions are promising ones to be used as root stocks for cultivated tomato varieties. 2012 Academic Journals Inc.",5,1
"Alados_2005_BioandCon","Fractal analysis of plant spatial patterns: A monitoring tool for vegetation transition shifts","Alados, C.L. and Pueyo, Y. and Navas, D. and Cabezudo, B. and Gonzalez, A. and Freeman, D.C.","Biodiversity and Conservation","09603115","14","1453-1468","2005","10.1007/s10531-004-9669-3","Spatial heterogeneity, like species diversity, is an important ecosystem property. We examine the effects of land use on the diversity and spatial distribution of plants in five semi-arid communities of eastern Spain using non-linear methods to assess the spatialtemporal dynamics of plant populations. Specifically, we are interested in detecting long-term structural changes or drift in an ecosystem before it is too late to prevent irreversible degradation. Fractal analysis is used to characterize the complexity of plant spatial patterns and Information Theory indices are used to measure change in information flow with land use changes and soil substrate. We found that grazing favored diversity and heterogeneity of species distribution on the impoverished gypsum and saline substrate community, as opposed to the detrimental effect of grazing in the Alpha steppe community. Indeed, old-field succession after 30 years of abandonment showed a recovery of species diversity but not the spatial structure of the vegetation. Further, Information Fractal Dimension, representing the unpredictability of plant spatial patterns in the landscape, increased as we moved from a highly diverse to a less diverse community, revealing the change to a more scattered and homogeneous spatial plant distribution. The Information Fractal Dimension is a good estimator of ecosystem disturbance, independent of scale, and thus can be used to monitor ecosystem dynamics.  Springer 2005.",6,2
"Alberti_2011_JoofExMaBianEc","Effects of nutrient enrichment and crab herbivory on a SW Atlantic salt marsh productivity","Alberti, J. and Cebrian, J. and Casariego, A.M. and Canepuccia, A. and Escapa, M. and Iribarne, O.","Journal of Experimental Marine Biology and Ecology","00220981","405","99-104","2011","10.1016/j.jembe.2011.05.023","After intense debate it is now accepted that nutrients (a bottom-up process) and herbivores (a top-down process) are both important controls of plant productivity in many systems. Besides their direct effects, herbivores may also have profound positive or negative indirect effects that can be modulated by nutrients and time. The interactive relationships between time, nutrient availability and herbivore impacts (direct and indirect) on plant growth dynamics are an emerging research topic that merits further effort. Here we did several experiments in a SW Atlantic marsh to contribute towards that gap by focusing on the dominant plant, Spartina densiflora, and one of the dominant herbivores, the crab Neohelice (Chasmagnathus) granulata, in the marsh. Herbivory by the crab was highly seasonal, with most of the consumption occurring in fall. Even though crabs preferred nutrient enriched leaves, nitrogen content was not the driver of these seasonal variations. Crab herbivory had markedly indirect negative impacts on S. densiflora leaves, reducing their growth rates and increasing their senescence. These deleterious impacts may partially explain the seasonal decline in leaf growth and a net loss in leaf biomass observed in the fall. Fertilization did not seem to alter these processes. Adding nutrients increased leaf growth in the spring, where ambient herbivory was low, but it also increased herbivory in the fall, resulting in similar patterns as the ones observed under non-fertilized conditions. Herbivory by the crab also greatly affected the dynamics of S. densiflora stems. Increases in stem density in relation to initial conditions were larger in non-grazed than in grazed plots regardless of whether nutrients were added or not. Together, these results indicate that, in Southwestern marshes populated by S. densiflora and N. granulata, herbivory by the crab represents an important direct and indirect control of plant growth. Our results also emphasize the importance of considering impacts on growth rates and not only on biomass because not considering reduced growth after herbivory may lead to improper calculations of nutrient cycling or detritus production.  2011 Elsevier B.V.",7,2
"Allsup_2016_Oeco","Belowground fungal associations and water interact to influence the compensatory response of Ipomopsis aggregata","Allsup, C.M. and Paige, K.N.","Oecologia","00298549","180","463-474","2016","10.1007/s00442-015-3470-8","Although the concept that some plants benefit from being eaten is counterintuitive, there is now considerable evidence demonstrating enhanced fitness following herbivory. It has been assumed that plants growing in high resource conditions are the ones best able to compensate for herbivory. However, just the opposite has been found for dicotyledonous plants exhibiting patterns of overcompensation, with most occurring in resource-poor conditions. Long-term studies of the monocarpic biennial, scarlet gilia, Ipomopsis aggregata growing in resource-poor conditions have shown that ungulate herbivory by mule deer and elk can result in a threefold increase in plant fitness over uneaten controls. These observations led us to hypothesize that fungal associations would facilitate the compensatory response most commonly observed in this Arizona population of scarlet gilia; perhaps mutualistic associations with fungi, such as arbuscular mycorrhizal fungi, would explain the phenomenon of overcompensation altogether. Fungal removal experiments, using Captan, a commercially available fungicide, showed that a reduction in fungal abundance altered the compensatory response following ungulate herbivory, particularly in years in which water was limited, increasing fitness compensation from equal compensation to overcompensation. A multifactorial experiment revealed that the interactive effects of water and fungicide maximized fruit production following herbivory. Our results are counter to the modification of tolerance hypothesis in which plants associating with mycorrhizal fungi will have higher tolerance to herbivory. It is likely that arbuscular mycorrhizal fungi and dark septate endophytes compete with plants for photosynthates following herbivory, thereby limiting the magnitude of compensation. Thus, fungi appear to be parasitic on scarlet gilia following ungulate herbivory.  2015, Springer-Verlag Berlin Heidelberg.",8,2
"Amahowe_2018_SoutFore","Multiple disturbance patterns and population structure of a tropical tree species, Afzelia africana (LeguminosaeCaesalpinioideae), in two contrasting bioclimatic zones of the Republic of Benin","Amahowe, O.I. and Biaou, S.S.H. and Natta, A.K. and Balagueman, R.O.","Southern Forests","20702620","80","95-103","2018","10.2989/20702620.2016.1274940","Understanding how multiple disturbances affect species population structure is crucial for designing a better conservation strategy of threatened species. In this paper, we assessed the disturbance patterns and evaluated their effects on the population structure of Afzelia africana, in two different bioclimatic zones of the Republic of Benin. The main disturbances in the studied area included branch pruning and debarking. Individuals of medium size (2040 cm) were mostly pruned and debarked. The percentages of pruning and debarking were similar at population level across the two studied bioclimatic zones (t = 0.04, p = 0.96; t = 0.73, p = 0.48). Examining this at individual level, pruning was similar but debarking was higher in the Sudanian zone (12.14  0.93%) than in the Sudano-Guinean zone (7.44  0.88) (W = 40859, p < 0.001). Population structure was bell-shaped in the Sudanian zone regardless of the disturbance level. In contrast, in the Sudano-Guinean zone, mildly disturbed populations showed an inverse J-shaped structure, whereas those highly disturbed were bell-shaped. This underlined the climatic (dryness) and disturbance effects on the establishment and recruitment of small trees into the next life stage in tropical savanna ecosystems. Good regeneration pattern and the largest individuals were found within the protected areas, demonstrating the prominent role of protected areas for the species conservation. Therefore, we suggested that conservation efforts should be extended to populations outside the protected areas. Forestry department should establish firebreaks networks to protect small individuals and facilitate their recruitment, as well as the regulation and enforcement should be improved on the sustainable use of the species.  2017 NISC (Pty) Ltd.",9,2
"Anderson_2011_JoofEcEn","No fitness cost for wheat's H gene-mediated resistance to hessian fly (Diptera: Cecidomyiidae)","Anderson, K.M. and Kang, Q. and Reber, J. and Harris, M.O.","Journal of Economic Entomology","00220493","104","1393-1405","2011","10.1603/EC11004","Resistance (R) genes have a proven record for protecting plants against biotic stress. A problem is parasite adaptation via Avirulence (Avr) mutations, which allows the parasite to colonize the R gene plant. Scientists hope to make R genes more durable by stacking them in a single cultivar. However, stacking assumes that R gene-mediated resistance has no fitness cost for the plant. We tested this assumption for wheat's resistance to Hessian fly, Mayetiola destructor (Say) (Diptera: Cecidomyiidae). Our study included ten plant fitness measures and four wheat genotypes, one susceptible, and three expressing either the H6, H9, or H13 resistance gene. Because R gene-mediated resistance has two components, we measured two types of costs: the cost of the constitutively- expressed H gene, which functions in plant surveillance, and the cost of the downstream induced responses, which were triggered by Hessian fly larvae rather than a chemical elicitor. For the constitutively expressed H gene, some measures indicated costs, but a greater number of measures indicated benefits of simply expressing the H gene. For the induced resistance, instead of costs, resistant plants showed benefits of being attacked. Resistant plants were more likely to survive attack than susceptible plants, and surviving resistant plants produced higher yield and quality. We discuss why resistance to the Hessian fly has little or no cost and propose that tolerance is important, with compensatory growth occurring after H gene-mediated resistance kills the larva. We end with a caution: Given that plants were given good growing conditions, fitness costs may be found under conditions of greater biotic or abiotic stress.  2011 Entomological Society of America.",10,2
