"label","title","author","journal","issn","volume","pages","year","doi","abstract","duplicate_group","n_duplicates"
"Baig20154303","Does the growth response of woody plants to elevated CO2 increase with temperature? A model-oriented meta-analysis","Baig, S. and Medlyn, B.E. and Mercado, L.M. and Zaehle, S.","Global Change Biology","13541013","21","4303-4319","2015","10.1111/gcb.12962","The temperature dependence of the reaction kinetics of the Rubisco enzyme implies that, at the level of a chloroplast, the response of photosynthesis to rising atmospheric CO2 concentration (Ca) will increase with increasing air temperature. Vegetation models incorporating this interaction predict that the response of net primary productivity (NPP) to elevated CO2 (eCa) will increase with rising temperature and will be substantially larger in warm tropical forests than in cold boreal forests. We tested these model predictions against evidence from eCa experiments by carrying out two meta-analyses. Firstly, we tested for an interaction effect on growth responses in factorial eCa  temperature experiments. This analysis showed a positive, but nonsignificant interaction effect (95% CI for above-ground biomass response = -0.8, 18.0%) between eCa and temperature. Secondly, we tested field-based eCa experiments on woody plants across the globe for a relationship between the eCa effect on plant biomass and mean annual temperature (MAT). This second analysis showed a positive but nonsignificant correlation between the eCa response and MAT. The magnitude of the interactions between CO2 and temperature found in both meta-analyses were consistent with model predictions, even though both analyses gave nonsignificant results. Thus, we conclude that it is not possible to distinguish between the competing hypotheses of no interaction vs. an interaction based on Rubisco kinetics from the available experimental database. Experiments in a wider range of temperature zones are required. Until such experimental data are available, model predictions should aim to incorporate uncertainty about this interaction.  2015 John Wiley & Sons Ltd.",1,2
"Brace2017254","Costs of immune responses are related to host body size and lifespan","Brace, A.J. and Lajeunesse, M.J. and Ardia, D.R. and Hawley, D.M. and Adelman, J.S. and Buchanan, K.L. and Fair, J.M. and Grindstaff, J.L. and Matson, K.D. and Martin, L.B.","Journal of Experimental Zoology Part A: Ecological and Integrative Physiology","24715638","327","254-261","2017","10.1002/jez.2084","A central assumption in ecological immunology is that immune responses are costly, with costs manifesting directly (e.g., increases in metabolic rate and increased amino acid usage) or as tradeoffs with other life processes (e.g., reduced growth and reproductive success). Across taxa, host longevity, timing of maturity, and reproductive effort affect the organization of immune systems. It is reasonable, therefore, to expect that these and related factors should also affect immune activation costs. Specifically, species that spread their breeding efforts over a long lifetime should experience lower immune costs than those that mature and breed quickly and die comparatively early. Likewise, body mass should affect immune costs, as body size affects the extent to which hosts are exposed to parasites as well as how hosts can combat infections (via its effects on metabolic rates and other factors). Here, we used phylogenetic meta-regression to reveal that, in general, animals incur costs of immune activation, but small species that are relatively long-lived incur the largest costs. These patterns probably arise because of the relative need for defense when infection risk is comparatively high and fitness can only be realized over a comparatively long period. However, given the diversity of species considered here and the overall modest effects of body mass and life history on immune costs, much more research is necessary before generalizations are appropriate.  2017 Wiley Periodicals, Inc.",2,2
"Brcena20142393","Soil carbon stock change following afforestation in Northern Europe: A meta-analysis","Brcena, T.G. and Kir, L.P. and Vesterdal, L. and Stefnsdttir, H.M. and Gundersen, P. and Sigurdsson, B.D.","Global Change Biology","13541013","20","2393-2405","2014","10.1111/gcb.12576","Northern Europe supports large soil organic carbon (SOC) pools and has been subjected to high frequency of land-use changes during the past decades. However, this region has not been well represented in previous large-scale syntheses of land-use change effects on SOC, especially regarding effects of afforestation. Therefore, we conducted a meta-analysis of SOC stock change following afforestation in Northern Europe. Response ratios were calculated for forest floors and mineral soils (0-10 cm and 0-20/30 cm layers) based on paired control (former land use) and afforested plots. We analyzed the influence of forest age, former land-use, forest type, and soil textural class. Three major improvements were incorporated in the meta-analysis: analysis of major interaction groups, evaluation of the influence of nonindependence between samples according to study design, and mass correction. Former land use was a major factor contributing to changes in SOC after afforestation. In former croplands, SOC change differed between soil layers and was significantly positive (20%) in the 0-10 cm layer. Afforestation of former grasslands had a small negative (nonsignificant) effect indicating limited SOC change following this land-use change within the region. Forest floors enhanced the positive effects of afforestation on SOC, especially with conifers. Meta-estimates calculated for the periods <30 years and >30 years since afforestation revealed a shift from initial loss to later gain of SOC. The interaction group analysis indicated that meta-estimates in former land-use, forest type, and soil textural class alone were either offset or enhanced when confounding effects among variable classes were considered. Furthermore, effect sizes were slightly overestimated if sample dependence was not accounted for and if no mass correction was performed. We conclude that significant SOC sequestration in Northern Europe occurs after afforestation of croplands and not grasslands, and changes are small within a 30-year perspective.  2014 John Wiley & Sons Ltd.",3,2
"Brown2018","Increased food supply mitigates ocean acidification effects on calcification but exacerbates effects on growth","Brown, N.E.M. and Bernhardt, J.R. and Anderson, K.M. and Harley, C.D.G.","Scientific Reports","20452322","8",NA,"2018","10.1038/s41598-018-28012-w","Because many of the negative effects of ocean acidification on marine life may result from underlying energetic short-falls associated with increased metabolic demands, several studies have hypothesized that negative responses to high CO2 could be reduced by energy input. Although this hypothesis was supported by a recent meta-analysis, we believe that the meta-analytic calculation used was not appropriate to test the stated hypothesis. Here, we first clarify the hypothesis put forward, the crux being that the effects of increased food supply and CO2 interact statistically. We then test this hypothesis by examining the available data in a more appropriate analytical framework. Using factorial meta-analysis, we confirm that food addition has a positive effect and CO2 has a negative effect on both growth and calcification. For calcification, food addition did indeed reduce CO2 impacts. Surprisingly, however, we found that food addition actually exacerbated the effects of acidification on growth, perhaps due to increased scope upon which CO2 effects can act in food-replete situations. These interactive effects were undetectable using a multilevel meta-analytic approach. Ongoing changes in food supply and carbonate chemistry, coupled with under-described, poorly understood, and potentially surprising interactive outcomes for these two variables, suggest that the role of food should remain a priority in ocean acidification research. Arising from: L. Ramajo et al., Sci. Rep. 6: 19374 (2016).  2018 The Author(s).",4,3
"Canarini201790","Soil carbon loss regulated by drought intensity and available substrate: A meta-analysis","Canarini, A. and Kir, L.P. and Dijkstra, F.A.","Soil Biology and Biochemistry","00380717","112","90-99","2017","10.1016/j.soilbio.2017.04.020","Drought is one of the most important climate change factors, but its effects on ecosystems are little understood. While known to influence soil carbon (C) cycling, it remains unresolved if altered rainfall patterns induced by climate change will stimulate positive feedbacks of CO2 into the atmosphere. Using a meta-analysis frame-work including 1495 observations from 60 studies encompassing a variety of ecosystems and soil types, we investigated drought effects on respiration rates, cumulative respiration during drying-rewetting cycles, metabolic quotient (qCO2), dissolved organic C (DOC), microbial biomass and fungi to bacteria (F:B) ratios from laboratory and field experiments. We show that C-rich soils (&gt;2% organic carbon) increase CO2 release into the atmosphere after intense droughts, but that C-poor soils show a net decline in C losses. We explain this self-reinforcing mechanism of climate change in C-rich soils by: (i) high substrate availability that magnify bursts of CO2 release after drought events and (ii) a shift in microbial community with increased loss of C per unit of biomass. These findings shed light on important responses of soil CO2 emissions to drought, which could either offset or facilitate positive feedbacks to global warming. Our results should be considered in global climate models, as even small changes in soil CO2 emission have large repercussions for global warming.  2017 Elsevier Ltd",5,2
"Chandrasekaran2016","Mycorrhizal symbiotic efficiency on C3 and C4 plants under salinity stress - A meta-analysis","Chandrasekaran, M. and Kim, K. and Krishnamoorthy, R. and Walitang, D. and Sundaram, S. and Joe, M.M. and Selvakumar, G. and Hu, S. and Oh, S.-H. and Sa, T.","Frontiers in Microbiology","1664302X","7",NA,"2016","10.3389/fmicb.2016.01246","A wide range of C3 and C4 plant species could acclimatize and grow under the impact of salinity stress. Symbiotic relationship between plant roots and arbuscular mycorrhizal fungi (AMF) are widespread and are well known to ameliorate the influence of salinity stress on agro-ecosystem. In the present study, we sought to understand the phenomenon of variability on AMF symbiotic relationship on saline stress amelioration in C3 and C4 plants. Thus, the objective was to compare varied mycorrhizal symbiotic relationship between C3 and C4 plants in saline conditions. To accomplish the above mentioned objective, we conducted a random effects models meta-analysis across 60 published studies. An effect size was calculated as the difference in mycorrhizal responses between the AMF inoculated plants and its corresponding control under saline conditions. Responses were compared between (i) identity of AMF species and AMF inoculation, (ii) identity of host plants (C3 vs. C4) and plant functional groups, (iii) soil texture and level of salinity and (iv) experimental condition (greenhouse vs. field). Results indicate that both C3 and C4 plants under saline condition responded positively to AMF inoculation, thereby overcoming the predicted effects of symbiotic efficiency. Although C3 and C4 plants showed positive effects under low (EC &lt; 4 ds/m) and high (&gt;8 ds/m) saline conditions, C3 plants showed significant effects for mycorrhizal inoculation over C4 plants. Among the plant types, C4 annual and perennial plants, C4 herbs and C4 dicot had a significant effect over other counterparts. Between single and mixed AMF inoculants, single inoculants Rhizophagus irregularis had a positive effect on C3 plants whereas Funneliformis mosseae had a positive effect on C4 plants than other species. In all of the observed studies, mycorrhizal inoculation showed positive effects on shoot, root and total biomass, and in nitrogen, phosphorous and potassium (K) uptake. However, it showed negative effects in sodium (Na) uptake in both C3 and C4 plants. This influence, owing to mycorrhizal inoculation, was significantly higher in K uptake in C4 plants. For our analysis, we concluded that AMF-inoculated C4 plants showed more competitive K+ ions uptake than C3 plants. Therefore, maintenance of high cytosolic K+/Na+ ratio is a key feature of plant salt tolerance. Studies on the detailed mechanism for the selective transport of K in C3 and C4 mycorrhizal plants under salt stress is lacking, and this needs to be explored.  2016 Chandrasekaran, Kim, Krishnamoorthy, Walitang, Sundaram, Joe, Selvakumar, Hu, Oh and Sa.",6,3
"Chandrasekaran2016216","Meta-analysis reveals that the genus pseudomonas can be a better choice of biological control agent against bacterial wilt disease caused by ralstonia solanacearum","Chandrasekaran, M. and Subramanian, D. and Yoon, E. and Kwon, T. and Chun, S.-C.","Plant Pathology Journal","15982254","32","216-227","2016","10.5423/PPJ.OA.11.2015.0235","Biological control agents (BCAs) from different microbial taxa are increasingly used to control bacterial wilt caused by Ralstonia solanacearum. However, a quantitative research synthesis has not been conducted on the role of BCAs in disease suppression. Therefore, the present study aimed to meta-analyze the impacts of BCAs on both Ralstonia wilt disease suppression and plant (host) growth promotion. The analysis showed that the extent of disease suppression by BCAs varied widely among studies, with effect size (log response ratio) ranging from 2.84 to 2.13. The disease incidence and severity were significantly decreased on average by 53.7% and 49.3%, respectively. BCAs inoculation also significantly increased fresh and dry weight by 34.4% and 36.1%, respectively on average. Also, BCAs inoculation significantly increased plant yield by 66%. Mean effect sizes for genus Pseudomonas sp. as BCAs were higher than for genus Bacillus spp. Among antagonists tested, P. fluorescens, P. putida, B. cereus, B. subtilis and B. amyloliquefaciens were found to be more effective in general for disease reduction. Across studies, highest disease control was found for P. fluorescens, annual plants, co-inoculation with more than one BCA, soil drench and greenhouse condition were found to be essential in understanding plant responses to R. solanacearum. Our results suggest that more efforts should be devoted to harnessing the potential beneficial effects of these antagonists, not just for plant growth promoting traits but also in mode of applications, BCAs formulations and their field studies should be considered in the future for R. solanacearum wilt disease suppression.  The Korean Society of Plant Pathology.",7,3
"Chaudhary2016","MycoDB, a global database of plant response to mycorrhizal fungi","Chaudhary, V.B. and Ra, M.A. and Antoninka, A. and Bever, J.D. and Cannon, J. and Craig, A. and Duchicela, J. and Frame, A. and Gardes, M. and Gehring, C. and Ha, M. and Hart, M. and Hopkins, J. and Ji, B. and Johnson, N.C. and Kaonongbua, W. and Karst, J. and Koide, R.T. and Lamit, L.J. and Meadow, J. and Milligan, B.G. and Moore, J.C. and Pendergast Iv, T.H. and Piculell, B. and Ramsby, B. and Simard, S. and Shrestha, S. and Umbanhowar, J. and Viechtbauer, W. and Walters, L. and Wilson, G.W.T. and Zee, P.C. and Hoeksema, J.D.","Scientific Data","20524463","3",NA,"2016","10.1038/sdata.2016.28","Plants form belowground associations with mycorrhizal fungi in one of the most common symbioses on Earth. However, few large-scale generalizations exist for the structure and function of mycorrhizal symbioses, as the nature of this relationship varies from mutualistic to parasitic and is largely context-dependent. We announce the public release of MycoDB, a database of 4,010 studies (from 438 unique publications) to aid in multi-factor meta-analyses elucidating the ecological and evolutionary context in which mycorrhizal fungi alter plant productivity. Over 10 years with nearly 80 collaborators, we compiled data on the response of plant biomass to mycorrhizal fungal inoculation, including meta-analysis metrics and 24 additional explanatory variables that describe the biotic and abiotic context of each study. We also include phylogenetic trees for all plants and fungi in the database. To our knowledge, MycoDB is the largest ecological meta-analysis database. We aim to share these data to highlight significant gaps in mycorrhizal research and encourage synthesis to explore the ecological and evolutionary generalities that govern mycorrhizal functioning in ecosystems.",8,3
"Cohen2018224","A global synthesis of animal phenological responses to climate change /631/158/2165/2457 /631/158/2039 /129 /141 /139 letter","Cohen, J.M. and Lajeunesse, M.J. and Rohr, J.R.","Nature Climate Change","1758678X","8","224-228","2018","10.1038/s41558-018-0067-3","Shifts in phenology are already resulting in disruptions to the timing of migration and breeding, and asynchronies between interacting species 1-5 . Recent syntheses have concluded that trophic level 1, latitude 6 and how phenological responses are measured 7 are key to determining the strength of phenological responses to climate change. However, researchers still lack a comprehensive framework that can predict responses to climate change globally and across diverse taxa. Here, we synthesize hundreds of published time series of animal phenology from across the planet to show that temperature primarily drives phenological responses at mid-latitudes, with precipitation becoming important at lower latitudes, probably reflecting factors that drive seasonality in each region. Phylogeny and body size are associated with the strength of phenological shifts, suggesting emerging asynchronies between interacting species that differ in body size, such as hosts and parasites and predators and prey. Finally, although there are many compelling biological explanations for spring phenological delays, some examples of delays are associated with short annual records that are prone to sampling error. Our findings arm biologists with predictions concerning which climatic variables and organismal traits drive phenological shifts.  2018 The Author(s).",9,1
"Curtis2012279","Raising the standards for ecological meta-analyses","Curtis, P.S. and Queenborough, S.A.","New Phytologist","0028646X","195","279-281","2012","10.1111/j.1469-8137.2012.04207.x",NA,10,2
"Davidson20185218","Differential effects of biological invasions on coastal blue carbon: A global review and meta-analysis","Davidson, I.C. and Cott, G.M. and Devaney, J.L. and Simkanin, C.","Global Change Biology","13541013","24","5218-5230","2018","10.1111/gcb.14426","Human-caused shifts in carbon (C) cycling and biotic exchange are defining characteristics of the Anthropocene. In marine systems, saltmarsh, seagrass, and mangrove habitatscollectively known as blue carbon and coastal vegetated habitats (CVHs)are a leading sequester of global C and increasingly impacted by exotic species invasions. There is growing interest in the effect of invasion by a diverse pool of exotic species on C storage and the implications for ecosystem-based management of these systems. In a global meta-analysis, we synthesized data from 104 papers that provided 345 comparisons of habitat-level response (plant and soil C storage) from paired invaded and uninvaded sites. We found an overall net effect of significantly higher C pools in invaded CVHs amounting to 40% (16%) higher C storage than uninvaded habitat, but effects differed among types of invaders. Elevated C storage was driven by blue C-forming plant invaders (saltmarsh grasses, seagrasses, and mangrove trees) that intensify biomass per unit area, extend and elevate coastal wetlands, and convert coastal mudflats into C-rich vegetated habitat. Introduced animal and structurally distinct primary producers had significant negative effects on C pools, driven by herbivory, trampling, and native species displacement. The role of invasion manifested differently among habitat types, with significant C storage increases in saltmarshes, decreases in seagrass, and no significant effect in mangroves. There were also counter-directional effects by the same species in different systems or locations, which underscores the importance of combining data mining with analyses of mean effect sizes in meta-analyses. Our study provides a quantitative basis for understanding differential effects of invasion on blue C habitats and will inform conservation strategies that need to balance management decisions involving invasion, C storage, and a range of other marine biodiversity and habitat functions in these coastal systems. Published 2018. This article is a U.S. Government work and is in the public domain in the USA.",11,2
"Dijkstra2015769","Fire eases imbalances of nitrogen and phosphorus in woody plants","Dijkstra, F.A. and Adams, M.A.","Ecosystems","14329840","18","769-779","2015","10.1007/s10021-015-9861-1","Fires are widespread and can result in large nutrient losses from ecosystems simultaneous with pulses in nitrogen (N) and phosphorus (P) that can increase their availability to plants. Plant growth is frequently limited by N and P, and fire has the potential to enhance or moderate the magnitude of N and P limitation in plants with important consequences for long-term net primary productivity and global carbon cycling. We used meta-analysis to explore fire effects on N and P concentrations in aboveground plant biomass among a variety of plants and plant communities worldwide. We show that across all observations, fire enhanced N concentration in plants when N/P ratios in biomass were low, and enhanced P concentration in plants when biomass N/P ratios were high. P concentration increased particularly in woody plants. Furthermore, responses of the N/P ratio in woody plants were more flexible than in herbaceous plants so that fire eased N and P imbalances only in woody plants. Our results suggest that these changes in plant N and P in response to fire may help sustain net primary productivity and persistence of woody plants in fire-affected ecosystems worldwide.  2015 Springer Science+Business Media New York.",12,2
"Dorman2018","Systematic reviews and meta-analyses of human and animal evidence of prenatal diethylhexyl phthalate exposure and changes in male anogenital distance","Dorman, D.C. and Chiu, W. and Hales, B.F. and Hauser, R. and Johnson, K.J. and Mantus, E. and Martel, S. and Robinson, K.A. and Rooney, A.A. and Rudel, R. and Sathyanarayana, S. and Schantz, S.L. and Waters, K.M.","Journal of Toxicology and Environmental Health - Part B: Critical Reviews","10937404",NA,NA,"2018","10.1080/10937404.2018.1505354","Male reproductive alterations found in animals and humans following in utero phthalate exposure include decreased anogenital distance (AGD) and other reproductive-tract malformations. The aim of this investigation was to conduct systematic reviews of human and animal evidence of the effect of in utero exposure to diethylhexyl phthalate (DEHP) on anogenital distance (AGD) in males. PubMed, Embase, and Toxline were searched for relevant human and experimental animal studies on August 15, 2016. Search results were screened for relevance, and studies that met the inclusion criteria were evaluated for quality and data extracted for analysis. Confidence in the human and animal bodies of evidence was assessed and hazard conclusions reached by integrating evidence streams. The search yielded 6 relevant human studies and 19 animal studies. Meta-analysis of 5 human observational prospective cohort studies showed that increased maternal urinary concentrations of DEHP metabolites were associated with decreased AGD in boys (4.07 [CI, 6.49 to 1.66] % decrease per log10 rise in DEHP metabolites). Meta-analysis and meta-regression of the 19 experimental animal studies found reduced AGD with DEHP treatment, with a dose-response gradient, and with heterogeneity explained by species and strain. There is a moderate level of evidence from human investigations and a high level of data from animal studies that in utero exposure to DEHP decreases AGD. Based upon the available human and animal evidence, and consideration of mechanistic data, DEHP is presumed to be a reproductive hazard to humans on the basis of effects on AGD.  2018,  2018 Taylor & Francis.",13,1
"Dorman2018.1","Polybrominated diphenyl ether (PBDE) neurotoxicity: a systematic review and meta-analysis of animal evidence","Dorman, D.C. and Chiu, W. and Hales, B.F. and Hauser, R. and Johnson, K.J. and Mantus, E. and Martel, S. and Robinson, K.A. and Rooney, A.A. and Rudel, R. and Sathyanarayana, S. and Schantz, S.L. and Waters, K.M.","Journal of Toxicology and Environmental Health - Part B: Critical Reviews","10937404",NA,NA,"2018","10.1080/10937404.2018.1514829","A recent systematic review (SR) and meta-analysis of human studies found an association between prenatal serum polybrominated diphenyl ethers (PBDE) concentrations and a decrease in the IQ of children. A SR of experimental developmental animal PBDE-mediated neurotoxicity studies was performed in the present study. Outcomes assessed included measures related to learning, memory, and attention, which parallel the intelligence-related outcomes evaluated in the human studies SR. PubMed, Embase, and Toxline were searched for relevant experimental non-human mammalian studies. Evaluation of risk of bias (RoB) and overall body of evidence followed guidance developed by the National Toxicology Program. Animal studies using varying designs and outcomes were available for BDEs 47, 99, 153, 203, 206, and 209 and the technical mixture DE-71. Study reporting of methods and results was often incomplete leading to concerns regarding RoB. A meta-analysis of 6 Morris water maze studies showed evidence of a significant increase in last trial latency (effect size of 25.8 [CI, 20.3 to 31.2]) in PBDE-exposed animals with low heterogeneity. For most endpoints, there were unexplained inconsistencies across studies and no consistent evidence of a dose-response relationship. There is a moderate level of evidence that exposure to BDEs 47, 99, and 209 affects learning. For other PBDEs and other endpoints, the level of evidence was low or very low. The meta-analysis led to stronger conclusions than that based upon a qualitative review of the evidence. The SR also identified RoB concerns that might be remedied by better study reporting.  2018,  2018 Taylor & Francis.",14,1
"Dostl2016464","Phenotypic plasticity is a negative, though weak, predictor of the commonness of 105 grassland species","Dostl, P. and Fischer, M. and Prati, D.","Global Ecology and Biogeography","1466822X","25","464-474","2016","10.1111/geb.12429","Aim: The usual hypothesis about the relationship between niche breadth and range size posits that species with the capacity to use a wider range of resources or to tolerate a greater range of environmental conditions should be more widespread. In plants, broader niches are often hypothesized to be due to pronounced phenotypic plasticity, and more plastic species are therefore predicted to be more common. We examined the relationship between the magnitude of phenotypic plasticity in five functional traits, mainly related to leaves, and several measures of abundance in 105 Central European grassland species. We further tested whether mean values of traits, rather than their plasticity, better explain the commonness of species, possibly because they are pre-adapted to exploiting the most common resources. Location: Central Europe. Methods: In a multispecies experiment with 105 species we measured leaf thickness, leaf greenness, specific leaf area, leaf dry matter content and plant height, and the plasticity of these traits in response to fertilization, waterlogging and shading. For the same species we also obtained five measures of commonness, ranging from plot-level abundance to range size in Europe. We then examined whether these measures of commonness were associated with the magnitude of phenotypic plasticity, expressed as composite plasticity of all traits across the experimental treatments. We further estimated the relative importance of trait plasticity and trait means for abundance and geographical range size. Results: More abundant species were less plastic. This negative relationship was fairly consistent across several spatial scales of commonness, but it was weak. Indeed, compared with trait means, plasticity was relatively unimportant for explaining differences in species commonness. Main conclusions: Our results do not indicate that larger phenotypic plasticity of leaf morphological traits enhances species abundance. Furthermore, possession of a particular trait value, rather than of trait plasticity, is a more important determinant of species commonness.  2016 John Wiley & Sons Ltd.",15,2
"Dostl2017511","No evidence for larger leaf trait plasticity in ecological generalists compared to specialists","Dostl, P. and Fischer, M. and Chytr, M. and Prati, D.","Journal of Biogeography","03050270","44","511-521","2017","10.1111/jbi.12881","Aim: Phenotypic plasticity is hypothesized to contribute to a species capacity to occupy broader ranges of conditions and to optimally exploit resource-rich environments. Although this is supported by case studies of individual species, we do not know whether larger plasticity in functional traits is generally associated with ecological characteristics of species such as their niche breadth or niche position. Here, we test whether there is such a relationship for plasticity in leaf functional traits. Location: Central Europe. Methods: We surveyed 110132 grassland plant species for plasticity in five leaf traits [leaf thickness, leaf greenness, specific leaf area, leaf dry matter content (LDMC) and plant height] and for biomass changes in response to experimental fertilization, shading and waterlogging. Trait plasticity and changes in biomass were compared with species niche characteristics along three environmental axes (light, nutrient and soil moisture) derived from a vegetation-plot database. Results: Although response of several traits to experimental treatments correlated with niche position and breadth (change in leaf thickness, greenness and biomass in response to fertilization; change in LDMC due to shading; and change in plant height and biomass due to waterlogging), we did not find evidence that species with broader niches or species from resource-rich environments are more plastic. Ecological generalists even turned out to be less plastic in some traits, including leaf thickness after fertilization and waterlogging. Generalists also displayed smaller plastic response averaged across all five traits (composite plasticity), though the relationship was not statistically significant. This composite plasticity was positively related to absolute change in biomass in all experimental treatments. Main conclusions: Our results suggest that larger species-level plasticity in leaf traits is not necessarily associated with a capacity to occupy a broader range of environments or with growth in resource-rich habitats; rather, it may indicate species sensitivity to environmental changes.  2016 John Wiley & Sons Ltd",16,2
