key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
,Habitat segregation between sympatric Tibetan argali Ovis ammon hodgsoni and blue sheep Pseudois nayaur in the Indian Trans-Himalaya,2004,1,1,Journal of Zoology,0952-8369,262,1,57-63,"Namgail, T. and Fox, J.L. and Bhatnagar, Y.V.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642423818&partnerID=40&md5=76aef2a1337b5d594ecfd7757585895b,English,,,"Tibetan argali Ovis ammon hodgsoni and blue sheep Pseudois nayaur have almost completely overlapping distributions encompassing most of the Tibetan plateau and its margins. Such a sympatric distribution of related species with similar ecological requirements implies that there is some degree of resource partitioning. This may be accomplished on the basis of habitat and/or diet separation. This study evaluated such ecological separation on the basis of physical habitat partitioning by these two sympatric ungulates in Hemis High Altitude National Park, Ladakh, India, in an area where the argali established a small new population in 1978. Such separation was tested for on the basis of expected difference between the species in their proximity to cliffs, associated with species-specific anti-predator behaviour. Tibetan argali selected habitats away from cliffs while blue sheep selected habitats close to cliffs. Blue sheep also selected steep slopes whereas argali selected gentle slopes. The two species did not differ in their use of habitats in terms of elevation. They did, however, differ in their use of plant communities; blue sheep selected sub-shrub and grass-dominated communities whilst argali selected forb-dominated communities. We suggest that the two species coexist in this site as a result of the differential use of habitat associated with their species-specific anti-predator strategies.","RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
1762,Interactions between competition and predation shape early growth and survival of two neotropical hylid tadpoles,2011,1,1,Biotropica,,43,,633-639,"Gonzalez, S.C. and Touchon, J.C. and Vonesh, J.R.",10.1111/j.1744-7429.2010.00748.x,,,,"Experimental studies in temperate regions have revealed that competition and predation interact to shape aquatic communities. Predators typically reduce the effect of competition on growth and competitors provide alternative prey subjects, which may also alter predation. Here, we examine the independent and combined effects of competition and predation on the survival and growth of hatchling tadpoles of two widespread co-occurring Neotropical hylid frogs (Agalychnis callidryas and Dendropsophus ebraccatus). Using 400L mesocosms, we used a 2  3 factorial substitutive design, which crossed tadpole species composition with the presence or absence of a free-roaming predator (Anax amazili dragonfly larva). Dragonflies were effective predators of both species, but had larger effects on A. callidryas survival. Both species had similar growth rates when alone, whereas A. callidryas grew 30 percent faster than D. ebraccatus when they co-occurred, suggesting interspecific rather than intraspecific competition had relatively stronger effects on D. ebraccatus growth, while the opposite was true for A. callidryas. Predator presence dramatically reduced growth rates of both species and erased this asymmetry. Results suggest that the effects of predator induction (i.e., nonconsumptive effects) on growth were larger than both consumptive and competitive effects. Our study demonstrates that predators have strong effects on both survival and growth of prey, highlighting the potential importance of predators in shaping prey populations and tropical aquatic food web interactions. Abstract in Spanish is available at.  2011 The Author(s). Journal compilation  2011 by The Association for Tropical Biology and Conservation."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Abrams2001459,The effect of density-independent mortality on the coexistence of exploitative competitors for renewing resources,2001,1,1,American Naturalist,1537-5323,158,,459-470,"Abrams, P.A.",10.1086/323113,,,,"Many ecologists believe that higher mortality imposed on competing species increases the probability that they will coexist. This belief has persisted in spite of many theoretical counterarguments. However, few of those counterarguments have been based on models having explicit representation of the resources for which competition is occurring. This article analyzes a series of consumer-resource models of competition for nutritionally substitutable renewable resources and determines the range of relative resource requirements that allow coexistence. In most cases, if consumers are initially efficient at reducing resource densities, increasing density-independent mortality, widens the range of resource requirements of the consumers that allow coexistence, provided the increase in mortality is not too great. The coexistence-promoting effects of mortality occur because a very efficient consumer species usually reduces the diversity of the set of resources it consumes. This lessens the extent to which resource utilization differences between consumer species can be expressed. Mortality, in this case, increases the diversity of resource types, widening the conditions for coexistence. However, sufficiently high mortality will usually reduce the range of parameters allowing coexistence, in agreement with much previous theory. The results presented here also predict maximal diversity at intermediate levels of productivity. Previous empirical studies and theory are reviewed in light of the theory developed here."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-LABELS: theoretical | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Adams20071292,Organization of Plethodon salamander communities: Guild-based community assembly,2007,1,1,Ecology,0012-9658,88,,1292-1299,"Adams, D.C.",10.1890/06-0697,,,,"A long-standing goal in evolutionary ecology is to determine whether the organization of communities is reflective of underlying deterministic processes. In this study, I examined patterns of species co-occurrence among eastern Plethodon salamanders and determined whether they were consistent with predictions from a guild model of competition-based community assembly. Using a database of 45 species and 4540 geographic sites, I found that patterns of co-occurrence were significantly nonrandom at both a regional and continental scale, and species of different size guilds were distributed more evenly in sites than was expected by chance. Sites with the highest species richness had consistent patterns of community composition, and with few exceptions, the same five species were present at all sites. Taken together, these results imply that larger Plethodon communities are assembled from simpler communities in a manner consistent with what is predicted through competitive mechanisms and suggest that stable species combinations are possible to achieve at various levels of species richness. These results also provide strong evidence consistent with the hypothesis that competitive-based community assembly is a general phenomenon in Plethodon and that interspecific competition is prevalent among the eastern species of this group.  2007 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-LABELS: comparative analysis | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Agrawal20042118,"Resistance and susceptibility of milkweed: Competition, root herbivory, and plant genetic variation",2004,1,1,Ecology,0012-9658,85,,2118-2133,"Agrawal, A.A.",10.1890/03-4084,,,,"Beetles in the genus Tetraopes share a long evolutionary history with milkweeds (Asclepias spp.), feeding on roots as larvae and leaves as adults. Despite their extreme specialization on milkweed, Tetraopes require drying grass stems as oviposition sites, even though they do not consume grass. The natural history of the interaction suggests that herbivory may be likely only when milkweeds are in close proximity to grasses. Theory also predicts that two stresses on plants, competition and herbivory, may have non-additive negative impacts on correlates of fitness. In field experiments conducted over two years, I followed the consequences of grass competition and beetle attack for herbivory, growth, and reproduction of milkweed, and reciprocal effects of milkweed on grass in common gardens. To assess the effect of milkweed traits on beetles, I conducted a quantitative genetic experiment using full-sibling families of milkweed and measured the effects of putative resistance traits on the abundance of Tetraopes adults. Milkweeds growing next to grass were initially unaffected in growth but suffered 10% greater leaf herbivory by adult Tetraopes than did milkweeds growing alone. This effect was caused by direct attraction of beetles to grass, not by a competitive modification of milkweed's phenotype. In late summer of the first growing season, when Tetraopes naturally oviposits, I experimentally added larvae to milkweed roots with and without grass competition. Within a month, I detected an interaction between competition and herbivory: neither had an individual impact, but jointly they reduced milkweed growth. In spring of the second growing season, when Tetraopes had completed development, I again found strong evidence for a non-additive effect of competition and herbivory together, severely reducing plant growth compared to their individual effects. Root herbivory induced a plant response that reduced the abundance of leaf-mining flies by 40%, but only for milkweeds with grass competition. Neither competition nor herbivory affected the production of defensive latex, cardenolides, or carbon, but they interacted to affect leaf nitrogen content. Thus, although trait-mediated indirect interactions were implicated in the effect of competition and root herbivory on leaf miner abundance, I did not uncover the mechanism. In the final harvest, beetle herbivory reduced reproductive characters (fruit production, fruit mass, aboveground biomass) by 20-30%, whereas competition had negligible effects. The net interaction effect for grass was competitive, with a 23% reduction in grass biomass caused by milkweed in the absence of herbivory. However, the presence of beetle herbivory on milkweed roots completely alleviated the competitive effect of milkweed on grass. Thus, the associational effect of grass on milkweed resulted in milkweed suffering the non-additive effects of competition and herbivory, whereas grass enjoyed competitive release by facilitating its neighbor's herbivore. Many traits of milkweed (e.g., growth, reproduction, and several resistance traits) showed variation among 23 full-sibling families, indicating that competitive ability and resistance may be subject to natural selection. A multiple regression analysis on family means revealed that leaf trichome density and nitrogen content were negatively genetically correlated with abundance of Tetraopes adults, but probability of flowering and plant height were positively associated. Leaf miners were most strongly negatively affected by latex and trichomes. Thus, complex interactions among competition, root herbivory, and plant genetic variation affect the herbivore and plant community and may result in diffuse coevolution between milkweed and its herbivores. I present a general model that predicts the conditions in which plant-plant interactions result in net competition or facilitation."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
AhmedouSalem201426,"Seasonal changes in mollusc abundance in a tropical intertidal ecosystem, Banc dArguin (Mauritania): Testing the depletion by shorebirds hypothesis",2014,1,1,"Estuarine, Coastal and Shelf Science",,136,,26-34,"Ahmedou Salem, M.V. and van der Geest, M. and Piersma, T. and Saoud, Y. and van Gils, J.A.",10.1016/j.ecss.2013.11.009,,,,"At temperate latitudes densities and biomass of intertidal molluscs tend to be strongly seasonal. Here we provide a comparative study on seasonality of bivalves and gastropods in the tropical intertidal seagrass-covered soft sediment environment of Banc d'Arguin, Mauritania (20N, 16W). In this system, benthivorous shorebirds exert considerable predation pressure with strong seasonal variations. It has been proposed that during the period when (adult) shorebirds are absent (May-August) benthic biomass would be able to recover, but a first test was inconclusive. Over a full year (March 2011-February 2012), each month we sampled benthic invertebrates at sixteen permanent sites. The total of 3763 specimens comprised 20 species, representing eight orders and 19 families. Bivalves were much more common than gastropods. The bivalve Loripes lucinalis dominated the assemblage throughout the year (58% of total number), followed by Dosinia isocardia (10%), Senilia senilis (8%) and the gastropod Gibbula umbilicalis (6%). Average biomass amounted to 32 g AFDM/m2, of which the large West-African bloody cockle Senilia made up three-quarter, Loripes 16%, Gibbula 2% and Dosinia 1%. Across the 20 species, lowest densities were reached in late spring (May) and summer (Aug.), whereas highest densities occurred in autumn (Oct.). The lowest overall density of 676 specimens/m2 in August more than doubled to a peak density of 1538 specimens/m2 in October, most of the increase being due to strong recruitment in both Loripes (densities increasing from 322 specimens/m2 in Sept. to 785 specimens/m2 in Oct.) and Dosinia (densities increasing from 18 specimens/m2 in Aug. to 265 specimens/m2 in Sept.). Our results suggest that by the time the feathered molluscivore predators returned in high numbers to Banc d'Arguin (after their summer breeding season in the Arctic), benthic animals were at a peak. In order to quantitatively understand the seasonal changes in mollusc abundance, we build upon a recently published optimal diet model in which the most abundant molluscivore shorebird, the red knot (Calidris canutus), could choose between Loripes and Dosinia. Observed changes in densities of these two bivalves closely match depletion trajectories predicted by the model. We conclude that molluscivore shorebirds are able to deplete their food stocks in the course of their 'winter' in a tropical intertidal area.  2013 The Authors."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Al.Namazi20172747,Competition and facilitation structure plant communities under nurse tree canopies in extremely stressful environments,2017,1,1,Ecology and Evolution,,7,,2747-2755,"Al-Namazi, A.A. and El-Bana, M.I. and Bonser, S.P.",10.1002/ece3.2690,,,,"Nurse plant facilitation in stressful environments can produce an environment with relatively low stress under its canopy. These nurse plants may produce the conditions promoting intense competition between coexisting species under the canopy, and canopies may establish stress gradients, where stress increases toward the edge of the canopy. Competition and facilitation on these stress gradients may control species distributions in the communities under canopies. We tested the following predictions: (1) interactions between understory species shift from competition to facilitation in habitats experiencing increasing stress from the center to the edge of canopy of a nurse plant, and (2) species distributions in understory communities are controlled by competitive interactions at the center of canopy, and facilitation at the edge of the canopy. We tested these predictions using a neighbor removal experiment under nurse trees growing in arid environments. Established individuals of each of four of the most common herbaceous species in the understory were used in the experiment. Two species were more frequent in the center of the canopy, and two species were more frequent at the edge of the canopy. Established individuals of each species were subjected to neighbor removal or control treatments in both canopy center and edge habitats. We found a shift from competitive to facilitative interactions from the center to the edge of the canopy. The shift in the effect of neighbors on the target species can help to explain species distributions in these canopies. Canopy-dominant species only perform well in the presence of neighbors in the edge microhabitat. Competition from canopy-dominant species can also limit the performance of edge-dominant species in the canopy microhabitat. The shift from competition to facilitation under nurse plant canopies can structure the understory communities in extremely stressful environments.  2017 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Alofs20143259,Meta-analysis suggests biotic resistance in freshwater environments is driven by consumption rather than competition,2014,1,1,Ecology,0012-9658,95,,3259-3270,"Alofs, K.M. and Jackson, D.A.",10.1890/14-0060.1,,,,"Native communities are thought to mediate the establishment and performance of invasive species through competitive and consumptive interactions, a concept referred to as ""biotic resistance."" We investigated the generality of this concept across ecosystems. Despite the conspicuousness of freshwater invasions, investigations of biotic resistance have focused mostly on terrestrial and, more recently, marine coastal communities. We collected in-situ studies that tested the impacts of native freshwater communities on invading primary producers and consumers. Meta-analysis demonstrated that evidence of competitive biotic resistance in freshwater habitats was not as strong as that in marine and terrestrial ecosystems. In freshwater ecosystems consumptive resistance was significantly stronger than competitive resistance and consumptive resistance appeared to be as strong in freshwater as in marine and terrestrial systems. The limited number of studies considering freshwater biotic resistance hindered our ability to understand the importance of factors including latitude, experimental duration, and method. However, the strength of biotic resistance varied among freshwater habitats; specifically, biotic resistance was strongest in lentic environments. Our analysis identifies mechanisms underlying biotic resistance in freshwater ecosystems that warrant further investigation given the potential ongoing and future impacts of invasive species in these systems.  2014 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Ameixa2013,Nonlinearities Lead to Qualitative Differences in Population Dynamics of Predator-Prey Systems,2013,1,1,PLoS ONE,,8,,NA,"Ameixa, O.M.C.C. and Messelink, G.J. and Kindlmann, P.",10.1371/journal.pone.0062530,,,,"Since typically there are many predators feeding on most herbivores in natural communities, understanding multiple predator effects is critical for both community and applied ecology. Experiments of multiple predator effects on prey populations are extremely demanding, as the number of treatments and the amount of labour associated with these experiments increases exponentially with the number of species in question. Therefore, researchers tend to vary only presence/absence of the species and use only one (supposedly realistic) combination of their numbers in experiments. However, nonlinearities in density dependence, functional responses, interactions between natural enemies etc. are typical for such systems, and nonlinear models of population dynamics generally predict qualitatively different results, if initial absolute densities of the species studied differ, even if their relative densities are maintained. Therefore, testing combinations of natural enemies without varying their densities may not be sufficient. Here we test this prediction experimentally. We show that the population dynamics of a system consisting of 2 natural enemies (aphid predator Adalia bipunctata (L.), and aphid parasitoid, Aphidius colemani Viereck) and their shared prey (peach aphid, Myzus persicae Sulzer) are strongly affected by the absolute initial densities of the species in question. Even if their relative densities are kept constant, the natural enemy species or combination thereof that most effectively suppresses the prey may depend on the absolute initial densities used in the experiment. Future empirical studies of multiple predator - one prey interactions should therefore use a two-dimensional array of initial densities of the studied species. Varying only combinations of natural enemies without varying their densities is not sufficient and can lead to misleading results.  2013 Ameixa et al."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Anderson2015765,Non-additive effects of intra- and interspecific competition between two larval salamanders,2015,1,1,Journal of Animal Ecology,218790,84,,765-772,"Anderson, T.L. and Whiteman, H.H.",10.1111/1365-2656.12335,,,,"Assessment of the relative strengths of intra- and interspecific competition has increased in recent years and is critical to understanding the importance of competition. Yet, whether intra- and interspecific competition can have non-additive effects has rarely been tested. The resulting fitness consequences of such non-additive interactions are important to provide the context necessary to advance our understanding of competition theory. We compared the strength of additive and non-additive intra- and interspecific competition by manipulating densities of a pair of larval salamanders (Ambystoma talpoideum and A. maculatum) in experimental mesocosms within a response surface design. Intraspecific density had the strongest effect on the strength of competition for both species, and few observed comparisons indicated interspecific competition was an important factor in predicting body size, growth or larval period length of either species. Non-additive effects of intra- and interspecific competition influenced some response variables, including size and mass at metamorphosis in A. maculatum, but at a reduced strength compared to intraspecific effects alone. Intraspecific competition was thus the dominant biotic interaction, but non-additive effects also impact the outcome of competition in these species, validating the importance of testing for and incorporating non-additive density effects into competition models.  2015 British Ecological Society."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
