"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","studyID"
"Alofs20143259","Meta-analysis suggests biotic resistance in freshwater environments is driven by consumption rather than competition",2014,1,1,"Ecology","0012-9658",95,NA,"3259-3270","Alofs, K.M. and Jackson, D.A.","10.1890/14-0060.1","",NA,NA,"Native communities are thought to mediate the establishment and performance of invasive species through competitive and consumptive interactions, a concept referred to as ""biotic resistance."" We investigated the generality of this concept across ecosystems. Despite the conspicuousness of freshwater invasions, investigations of biotic resistance have focused mostly on terrestrial and, more recently, marine coastal communities. We collected in-situ studies that tested the impacts of native freshwater communities on invading primary producers and consumers. Meta-analysis demonstrated that evidence of competitive biotic resistance in freshwater habitats was not as strong as that in marine and terrestrial ecosystems. In freshwater ecosystems consumptive resistance was significantly stronger than competitive resistance and consumptive resistance appeared to be as strong in freshwater as in marine and terrestrial systems. The limited number of studies considering freshwater biotic resistance hindered our ability to understand the importance of factors including latitude, experimental duration, and method. However, the strength of biotic resistance varied among freshwater habitats; specifically, biotic resistance was strongest in lentic environments. Our analysis identifies mechanisms underlying biotic resistance in freshwater ecosystems that warrant further investigation given the potential ongoing and future impacts of invasive species in these systems.  2014 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch1"
"Arredondo.Nez20091","How beneficial are nurse plants? A meta-analysis of the effects of cushion plants on high-Andean plant communities",2009,1,1,"Community Ecology","",10,NA,"01-Jun","Arredondo-Nez, A. and Badano, E.I. and Bustamante, R.O.","10.1556/ComEc.10.2009.1.1","",NA,NA,"Facilitation by nurse plants is one of the most commonly reported interactions between plants and is regarded as an important factor in structuring plant communities. We used a meta-analysis to examine the generality of these effects, focusing on cushion plants, a common life-form occurring in high-Andean ecosystems. We targeted the following questions: (1) is there a generalized positive effect of cushions on other vascular plant species along the Andes? (2) do different species groups (i.e., annuals and perennials, natives and exotics) display different association responses to cushions? (3) does the nurse effect of cushions increase with environmental severity? Results indicated that the overall effect of cushions is positive, however these positive effects were more significant amongst exotic plants than in native plants; effects were only positive for perennial plants, and were notably negative for annuals. The positive effects of cushions also increased with physical stress, but only for perennial plants. These results allow us to suggest that as a whole cushions may be acting as keystone species that maintain the structure and diversity of high-Andean plant communities. Nevertheless, since cushions also positively affect the performance of exotic plants, we should be aware of their potential role in promoting biological invasions.  Akadmiai Kiad Budapest."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch2"
"Bancroft2007332","Effects of UVB radiation on marine and freshwater organisms: A synthesis through meta-analysis",2007,1,1,"Ecology Letters","1461-023X, 1461-023X",10,NA,"332-345","Bancroft, B.A. and Baker, N.J. and Blaustein, A.R.","10.1111/j.1461-0248.2007.01022.x","",NA,NA,"Ultraviolet-B (UVB) radiation is a global stressor with potentially far-reaching ecological impacts. In the first quantitative analysis of the effects of UVB on aquatic organisms, we used meta-analytic techniques to explore the effects of UVB on survival and growth in freshwater and marine systems. Based on the large body of literature on the effects of UVB in aquatic systems, we predicted that UVB would have different effects in different habitats, experimental venues, trophic groups and life history stages. Contrary to our predictions, we found an overall negative effect of UVB on both survival and growth that crossed life histories, trophic groups, habitats and experimental venues. UVB had larger negative effects on growth in embryos compared with later life history stages. Despite the overall negative effect of UVB, effect sizes varied widely. In the survival analyses, no relationship between mean effect size and taxonomic groups or levels of exposure to UVB was detected. In the growth analyses, a larger negative effect on protozoans was observed. Our analyses suggest that the effects of UVB in aquatic systems are large and negative but highly variable between organisms. Variation in susceptibility may have important implications for population and community structure.  2007 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch3"
"Bancroft2008987","A meta-analysis of the effects of ultraviolet B radiation and its synergistic interactions with pH, contaminants, and disease on amphibian survival",2008,1,1,"Conservation Biology","0888-8892",22,NA,"987-996","Bancroft, B.A. and Baker, N.J. and Blaustein, A.R.","10.1111/j.1523-1739.2008.00966.x","",NA,NA,"Human alterations to natural systems have resulted in a loss of biological diversity around the world. Amphibian population losses have been more severe than those of birds and mammals. Amphibian population declines are likely due to many factors including habitat loss, disease, contaminants, introduced species and ultraviolet-B (UVB) radiation. The effect of UVB, however, varies widely among species and can vary within populations of the same species or at different life-history stages. This variation has often led to opposing conclusions about how UVB affects amphibians. We used meta-analysis techniques to explore the overall effects of UVB radiation on survival in amphibians. We also used recently developed factorial meta-analytic techniques to quantify potential interactions between UVB radiation and other stressors on amphibians. Ultraviolet-B radiation reduced survival of amphibians by 1.9-fold compared with shielded controls. Larvae were more susceptible to damage from UVB radiation compared with embryos, and salamanders were more susceptible compared with frogs and toads. Furthermore, UVB radiation interacted synergistically with other environmental stressors and resulted in greater than additive effects on survival when 2 stressors were present. Our results suggest that UVB radiation is an important stressor in amphibians, particularly in light of potential synergisms between UVB and other stressors in amphibian habitats.  2008 Society for Conservation Biology."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch4"
"Barton2010481","The ontogeny of plant defense and herbivory: Characterizing general patterns using meta-analysis",2010,1,1,"American Naturalist","1537-5323",175,NA,"481-493","Barton, K.E. and Koricheva, J.","10.1086/650722","",NA,NA,"Defense against herbivores often changes dramatically as plants develop. Hypotheses based on allocation theory and herbivore selection patterns predict that defense should increase or decrease, respectively, across ontogeny, and previous research partly supports both predictions. Thus, it remains unclear which pattern is more common and what factors contribute to variability among studies. We conducted a meta-analysis of 116 published studies reporting ontogenetic patterns in plant defense traits and herbivory. Patterns varied depending on plant life form (woody, herbaceous, grass), type of herbivore (insect, mollusk, mammal), and type of defense trait (secondary chemistry, physical defense, tolerance). In woody plants, chemical defense increased during the seedling stage, followed by an increase in physical defenses during the vegetative juvenile stage. Mammalian herbivores showed a strong preference for mature compared to juvenile tissues in woody plants. Herbs experienced a significant increase in secondary chemistry across the entire ontogenetic trajectory, although the magnitude of increase was greatest during the seedling stage. Correspondingly, mollusks preferred young compared to older herbs. Future research investigating growth/defense trade-offs, allometry, herbivore selection patterns, and ecological costs would shed light on the mechanisms driving the ontogenetic patterns observed.  2010 by The University of Chicago."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch5"
"Blenckner2002203","North Atlantic Oscillation signatures in aquatic and terrestrial ecosystems - A meta-analysis",2002,1,1,"Global Change Biology","1354-1013",8,NA,"203-212","Blenckner, T. and , Hillebr and , H.","10.1046/j.1365-2486.2002.00469.x","",NA,NA,"Climate variations over the Northern Hemisphere are to a substantial proportion associated with the North Atlantic Oscillation (NAO). Recently, many studies revealed the impacts of the NAO on the dynamics of organisms in different ecosystems but the results in the single studies were inconsistent. Here, we used meta-analysis techniques for a quantitative synthesis of results. We tested the influence of the NAO on the timing of life history events, on biomass of organisms, and on biomass of different trophic levels. We found a clear NAO signature in freshwater, marine, and terrestrial ecosystems. The response of life history events to the NAO was similar in all environments but less pronounced at higher latitudes. The magnitude of the biomass response was significantly related to the NAO, either positively in aquatic or negatively in terrestrial ecosystems. The response depended on longitude, the effect being less pronounced in Eastern Europe. The results stressed that a meta-analysis is a valuable tool in the field of climate-driven ecosystem responses and can identify more general ecological responses than single studies. We recommend the inclusion of nonsignificant results in order to archive an objective view of the strength of NAO and climate impacts in general."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch6"
"Blenckner20071314","Large-scale climatic signatures in lakes across Europe: A meta-analysis",2007,1,1,"Global Change Biology","1354-1013",13,NA,"1314-1326","Blenckner, T. and Adrian, R. and Livingstone, D.M. and Jennings, E. and Weyhenmeyer, G.A. and George, D.G. and Jankowski, T. and Jrvinen, M. and Aonghusa, C.N. and Nges, T. and Straile, D. and Teubner, K.","10.1111/j.1365-2486.2007.01364.x","",NA,NA,"Recent studies have highlighted the impact of the winter North Atlantic Oscillation (NAO) on water temperature, ice conditions, and spring plankton phenology in specific lakes and regions in Europe. Here, we use meta-analysis techniques to test whether 18 lakes in northern, western, and central Europe respond coherently to winter climate forcing, and to assess the persistence of the winter climate signal in physical, chemical, and biological variables during the year. A meta-analysis approach was chosen because we wished to emphasize the overall coherence pattern rather than individual lake responses. A particular strength of our approach is that time-series from each of the 18 lakes were subjected to the same robust statistical analysis covering the same 23-year period. Although the strongest overall coherence in response to the winter NAO was exhibited by lake water temperatures, a strong, coherent response was also exhibited by concentrations of soluble reactive phosphorus and soluble reactive silicate, most likely as a result of the coherent response exhibited by the spring phytoplankton bloom. Lake nitrate concentrations showed significant coherence in winter. With the exception of the cyanobacterial biomass in summer, phytoplankton biomass in all seasons was unrelated to the winter NAO. A strong coherence in the abundance of daphnids during spring can most likely be attributed to coherence in daphnid phenology. A strong coherence in the summer abundance of the cyclopoid copepods may have been related to a coherent change in their emergence from resting stages. We discuss the complex nature of the potential mechanisms that drive the observed changes.  2007 Blackwell Publishing Ltd."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch7"
"Bonin2015169","The Prevalence and Importance of Competition among Coral Reef Fishes",2015,1,1,"Annual Review of Ecology, Evolution, and Systematics","1543592X, 15452069",46,NA,"169-190","Bonin, M.C. and Bostrm-Einarsson, L. and Munday, P.L. and Jones, G.P.","10.1146/annurev-ecolsys-112414-054413","",NA,NA,"Although competition is recognized as a core ecological process, its prevalence and importance in coral reef fish communities have been debated. Here we compile and synthesize the results of 173 experimental tests of competition from 72 publications. We show that evidence for competition is pervasive both within and between species, with 72% of intraspecific tests and 56% of interspecific tests demonstrating a demographically significant consequence of competition (e.g., a decrease in recruitment, survival, growth, or fecundity). We highlight several factors that can interact with the effects of competition and make it more difficult to detect in field experiments. In light of this evidence, we discuss the role of competition in shaping coral reef fish communities and competition's status as one of several processes that contribute to species coexistence. Finally, we consider some of the complex ways that climate change may influence competition, and we provide suggestions for future research. Copyright  2015 by Annual Reviews. All rights reserved."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch8"
"Borer20062813","Asymmetry in community regulation: Effects of predators and productivity",2006,1,1,"Ecology","0012-9658",87,NA,"2813-2820","Borer, E.T. and Halpern, B.S. and Seabloom, E.W.","10.1890/0012-9658(2006)87[2813:AICREO]2.0.CO;2","",NA,NA,"Eutrophication and predator additions and extinctions are occurring in ecosystems worldwide. Although theory predicts that both will strongly alter the distribution of biomass in whole communities, empirical evidence has not been consolidated to quantitatively determine whether these theoretical predictions are generally borne out in real ecosystems. Here we analyze data from two types of trophic cascade studies, predator removals in factorial combination with fertilization and observed productivity gradients, to assess the role of top-down and bottom-up forces in structuring multi-trophic communities and compare results from these analyses to those from an extensive database of trophic cascade studies. We find that herbivore biomass declines and plant biomass increases in the presence of predators, regardless of system productivity. In contrast, while plants are increased by fertilization, this effect does not significantly increase herbivores in either the presence or absence of predators. These patterns are consistent among marine, freshwater, and terrestrial ecosystems and are largely independent of study size and duration. Thus, top-down effects of predation are transferred through more trophic levels than are bottom-up effects of eutrophication, showing strong asymmetry in the direction of control of biomass distribution in communities.  2006 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch9"
"Borowicz20131","The impact of arbuscular mycorrhizal fungi on plant growth following herbivory: A search for pattern",2013,1,1,"Acta Oecologica","",52,NA,"01-Sep","Borowicz, V.A.","10.1016/j.actao.2013.06.004","",NA,NA,"Arbuscular mycorrhizal (AM) fungi can facilitate nutrient uptake and increase host plant growth but also place constraints on the host's carbon budget. When plants are stressed by herbivory the net effect of the symbiosis may be altered tolerance. Individual experiments manipulating AM fungi and herbivory have demonstrated increased, decreased, and no effect on tolerance but patterns with respect to plant, herbivore, or fungus characteristics have not emerged. Meta-analysis of published results from factorial experiments was used to describe the size of the effects of herbivory and of AM fungi on host growth when factors such as cause of damage, inoculum, and host characteristics are considered, and to determine whether AM fungi alter the effects of herbivory. Also, the correlation between the effect of AM fungi on tolerance and resistance was tested with data from studies that examined insect performance. Herbivory strongly and consistently reduced shoot and root growth, especially in perennial plants and crops. AM fungi increased shoot growth of perennials but not annuals, and when insects caused damage but not when artificial defoliation was applied. Root growth was consistently greater with AM fungi. The interaction of AM fungi and herbivory, which indicates whether AM fungi alter the effects of herbivory, was variable and never significant overall but homogeneity tests indicated underlying structure. In experiments that used single species inoculum, Glomus intraradices increased, whereas Glomus mosseae reduced, effects of herbivory on shoot growth. Multispecies inocula magnified effects of herbivory on root growth whereas single species inocula ameliorated effects. The impact of AM fungi on resistance to herbivory was positively correlated with the impact on tolerance; however AM fungi reduced both tolerance and resistance in many cases. Review of these results with respect to the types of systems studied suggests directions for future investigation.  2013 Elsevier Masson SAS."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch10"
