key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
3015,Additive effects of pollinators and herbivores result in both conflicting and reinforcing selection on floral traits,2015,1,1,Ecology,0012-9658,96,,214-221,"Sletvold, N. and Moritz, K.K. and gren, J.",10.1890/14-0119.1,,,,"Mutualists and antagonists are known to respond to similar floral cues, and may thus cause opposing selection on floral traits. However, we lack a quantitative understanding of their independent and interactive effects. In a population of the orchid Gymnadenia conopsea, we manipulated the intensity of pollination and herbivory in a factorial design to examine whether both interactions influence selection on flowering phenology, floral display, and morphology. Supplemental hand-pollination increased female fitness by 31% and one-quarter of all plants were damaged by herbivores. Both interactions contributed to selection. Pollinators mediated selection for later flowering and herbivores for earlier flowering, while both selected for longer spurs. The strength of selection was similar for both agents, and their effects were additive. As a consequence, there was no net selection on phenology, whereas selection on spur length was strong. The experimental results demonstrate that both pollinators and herbivores can markedly influence the strength of selection on flowering phenology and floral morphology, and cause both conflicting and reinforcing selection. They also indicate that the direction of selection on phenology will vary with the relative intensity of the mutualistic and antagonistic interaction, potentially resulting in both temporal and among-population variation in optimal flowering time.  2015 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
3418,Identifying targets and agents of selection: innovative methods to evaluate the processes that contribute to local adaptation,2017,1,1,Methods in Ecology and Evolution,2041-210X,8,,738-749,"Wadgymar, S.M. and Lowry, D.B. and Gould, B.A. and Byron, C.N. and Mactavish, R.M. and Anderson, J.T.",10.1111/2041-210X.12777,,,,"Extensive empirical work has demonstrated local adaptation to discrete environments, yet few studies have elucidated the genetic and environment mechanisms that generate it. Here, we advocate for research that broadens our understanding of local adaptation beyond pattern and towards process. We discuss how studies of local adaptation can be designed to address two unresolved questions in evolutionary ecology: Does local adaptation result from fitness trade-offs at individual loci across habitats? How do agents of selection interact to generate local adaptation to discrete contrasting habitats types and continuous environmental gradients? To inform future investigations of the genetic basis of local adaptation, we conducted a literature review of studies that mapped quantitative trait loci (QTL) for fitness in native field environments using reciprocal transplant experiments with hybrid mapping populations or Genome-wide Association Study (GWAS) panels. We then reviewed the literature for field experiments that disentangle the contributions of various agents of selection to local adaptation. For each question, we suggest future lines of inquiry and discuss implications for climate change and agriculture research. (i) Studies in the native habitats of five biological systems revealed that local adaptation is more often caused by conditional neutrality than genetic trade-offs at the level of the QTL. We consider the ramifications of this result and discuss knowledge gaps in our current understanding of the genetic basis of local adaptation. (ii) We uncovered only five studies that identified the agents of selection that contribute to local adaptation, and nearly all were conducted in discrete habitats rather than across the continuous environmental gradients that many species inhabit. We introduce a novel experimental framework for illuminating the processes underlying local adaptation. A holistic view of local adaptation is critical for predicting the responses of organisms to climate change, enhancing conservation efforts, and developing strategies to improve crop resilience to environmental stress. Experiments that manipulate agents of selection in native field environments using pedigreed populations or GWAS panels offer unique opportunities for detecting the genetic and environmental mechanisms that generate local adaptation.  2017 The Authors. Methods in Ecology and Evolution  2017 British Ecological Society"," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-LABELS: review | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Borowicz20131,The impact of arbuscular mycorrhizal fungi on plant growth following herbivory: A search for pattern,2013,1,1,Acta Oecologica,,52,,1-9,"Borowicz, V.A.",10.1016/j.actao.2013.06.004,,,,"Arbuscular mycorrhizal (AM) fungi can facilitate nutrient uptake and increase host plant growth but also place constraints on the host's carbon budget. When plants are stressed by herbivory the net effect of the symbiosis may be altered tolerance. Individual experiments manipulating AM fungi and herbivory have demonstrated increased, decreased, and no effect on tolerance but patterns with respect to plant, herbivore, or fungus characteristics have not emerged. Meta-analysis of published results from factorial experiments was used to describe the size of the effects of herbivory and of AM fungi on host growth when factors such as cause of damage, inoculum, and host characteristics are considered, and to determine whether AM fungi alter the effects of herbivory. Also, the correlation between the effect of AM fungi on tolerance and resistance was tested with data from studies that examined insect performance. Herbivory strongly and consistently reduced shoot and root growth, especially in perennial plants and crops. AM fungi increased shoot growth of perennials but not annuals, and when insects caused damage but not when artificial defoliation was applied. Root growth was consistently greater with AM fungi. The interaction of AM fungi and herbivory, which indicates whether AM fungi alter the effects of herbivory, was variable and never significant overall but homogeneity tests indicated underlying structure. In experiments that used single species inoculum, Glomus intraradices increased, whereas Glomus mosseae reduced, effects of herbivory on shoot growth. Multispecies inocula magnified effects of herbivory on root growth whereas single species inocula ameliorated effects. The impact of AM fungi on resistance to herbivory was positively correlated with the impact on tolerance; however AM fungi reduced both tolerance and resistance in many cases. Review of these results with respect to the types of systems studied suggests directions for future investigation.  2013 Elsevier Masson SAS."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Brown2018,Increased food supply mitigates ocean acidification effects on calcification but exacerbates effects on growth,2018,1,1,Scientific Reports,2045-2322,8,,NA,"Brown, N.E.M. and Bernhardt, J.R. and Anderson, K.M. and Harley, C.D.G.",10.1038/s41598-018-28012-w,,,,"Because many of the negative effects of ocean acidification on marine life may result from underlying energetic short-falls associated with increased metabolic demands, several studies have hypothesized that negative responses to high CO2 could be reduced by energy input. Although this hypothesis was supported by a recent meta-analysis, we believe that the meta-analytic calculation used was not appropriate to test the stated hypothesis. Here, we first clarify the hypothesis put forward, the crux being that the effects of increased food supply and CO2 interact statistically. We then test this hypothesis by examining the available data in a more appropriate analytical framework. Using factorial meta-analysis, we confirm that food addition has a positive effect and CO2 has a negative effect on both growth and calcification. For calcification, food addition did indeed reduce CO2 impacts. Surprisingly, however, we found that food addition actually exacerbated the effects of acidification on growth, perhaps due to increased scope upon which CO2 effects can act in food-replete situations. These interactive effects were undetectable using a multilevel meta-analytic approach. Ongoing changes in food supply and carbonate chemistry, coupled with under-described, poorly understood, and potentially surprising interactive outcomes for these two variables, suggest that the role of food should remain a priority in ocean acidification research. Arising from: L. Ramajo et al., Sci. Rep. 6: 19374 (2016).  2018 The Author(s)."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Crain20081304,Interactive and cumulative effects of multiple human stressors in marine systems,2008,1,1,Ecology Letters,"1461-023X, 1461-023X",11,,1304-1315,"Crain, C.M. and Kroeker, K. and Halpern, B.S.",10.1111/j.1461-0248.2008.01253.x,,,,"Humans impact natural systems in a multitude of ways, yet the cumulative effect of multiple stressors on ecological communities remains largely unknown. Here we synthesized 171 studies that manipulated two or more stressors in marine and coastal systems and found that cumulative effects in individual studies were additive (26%), synergistic (36%), and antagonistic (38%). The overall interaction effect across all studies was synergistic, but interaction type varied by response level (community: antagonistic, population: synergistic), trophic level (autotrophs: antagonistic, heterotrophs: synergistic), and specific stressor pair (seven pairs additive, three pairs each synergistic and antagonistic). Addition of a third stressor changed interaction effects significantly in two-thirds of all cases and doubled the number of synergistic interactions. Given that most studies were performed in laboratories where stressor effects can be carefully isolated, these three-stressor results suggest that synergies may be quite common in nature where more than two stressors almost always coexist. While significant gaps exist in multiple stressor research, our results suggest an immediate need to account for stressor interactions in ecological studies and conservation planning.  2008 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Griffith20121145,"Predicting Interactions among Fishing, Ocean Warming, and Ocean Acidification in a Marine System with Whole-Ecosystem Models",2012,1,1,Conservation Biology,0888-8892,26,,1145-1152,"Griffith, G.P. and Fulton, E.A. and Gorton, R. and Richardson, A.J.",10.1111/j.1523-1739.2012.01937.x,,,,"An important challenge for conservation is a quantitative understanding of how multiple human stressors will interact to mitigate or exacerbate global environmental change at a community or ecosystem level. We explored the interaction effects of fishing, ocean warming, and ocean acidification over time on 60 functional groups of species in the southeastern Australian marine ecosystem. We tracked changes in relative biomass within a coupled dynamic whole-ecosystem modeling framework that included the biophysical system, human effects, socioeconomics, and management evaluation. We estimated the individual, additive, and interactive effects on the ecosystem and for five community groups (top predators, fishes, benthic invertebrates, plankton, and primary producers). We calculated the size and direction of interaction effects with an additive null model and interpreted results as synergistic (amplified stress), additive (no additional stress), or antagonistic (reduced stress). Individually, only ocean acidification had a negative effect on total biomass. Fishing and ocean warming and ocean warming with ocean acidification had an additive effect on biomass. Adding fishing to ocean warming and ocean acidification significantly changed the direction and magnitude of the interaction effect to a synergistic response on biomass. The interaction effect depended on the response level examined (ecosystem vs. community). For communities, the size, direction, and type of interaction effect varied depending on the combination of stressors. Top predator and fish biomass had a synergistic response to the interaction of all three stressors, whereas biomass of benthic invertebrates responded antagonistically. With our approach, we were able to identify the regional effects of fishing on the size and direction of the interacting effects of ocean warming and ocean acidification. 2012 Society for Conservation Biology."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Harvey20131016,Meta-analysis reveals complex marine biological responses to the interactive effects of ocean acidification and warming,2013,1,1,Ecology and Evolution,,3,,1016-1030,"Harvey, B.P. and Gwynn-Jones, D. and Moore, P.J.",10.1002/ece3.516,,,,"Ocean acidification and warming are considered two of the greatest threats to marine biodiversity, yet the combined effect of these stressors on marine organisms remains largely unclear. Using a meta-analytical approach, we assessed the biological responses of marine organisms to the effects of ocean acidification and warming in isolation and combination. As expected biological responses varied across taxonomic groups, life-history stages, and trophic levels, but importantly, combining stressors generally exhibited a stronger biological (either positive or negative) effect. Using a subset of orthogonal studies, we show that four of five of the biological responses measured (calcification, photosynthesis, reproduction, and survival, but not growth) interacted synergistically when warming and acidification were combined. The observed synergisms between interacting stressors suggest that care must be made in making inferences from single-stressor studies. Our findings clearly have implications for the development of adaptive management strategies particularly given that the frequency of stressors interacting in marine systems will be likely to intensify in the future. There is now an urgent need to move toward more robust, holistic, and ecologically realistic climate change experiments that incorporate interactions. Without them accurate predictions about the likely deleterious impacts to marine biodiversity and ecosystem functioning over the next century will not be possible.  2013 The Authors. Ecology and Evolution."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Heckel2010319,Nonconsumptive effects of a generalist ungulate herbivore drive decline of unpalatable forest herbs,2010,1,1,Ecology,0012-9658,91,,319-326,"Heckel, C.D. and Bourg, N.A. and Mcshea, W.J. and Kalisz, S.",10.1890/09-0628.1,,,,"High herbivore pressure is expected to benefit unpalatable species that co-occur with palatable browsed species. However, for five unpalatable understory species we found no evidence of benefit from deer browse. Detailed studies of one species in natural populations, Arisaema triphyllum, revealed surprising changes in its population structure and demography: deer browse level on a palatable species significantly correlates with reduced plant size and seed rain and male-biased sex ratios of co-occurring Arisaema populations. Analyses of individual size in five unpalatable forest plant species in long-term experimental paired deer exclosure/deer access plots corroborate the natural site results; all five species were smaller in deer access plots. Analyses of abiotic variables in natural and experimental sites suggest one potential mechanism for indirect effects of deer. Deer-mediated soil quality declines included increased soil penetration resistance and decreased leaf litter depth, which are known to hinder plant growth. Our results are likely applicable to other unpalatable forest species and have clear consequences for understory biodiversity. Unpalatable plant species in forests experiencing high deer numbers may be in decline along with their palatable neighbors. Our study implicates deer overabundance in the cascade of forest species decline and the urgency of this conservation issue in North America.  2010 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Juliano2010325,"Coexistence, exclusion, or neutrality? A meta-analysis of competition between Aedes albopictus and resident mosquitoes",2010,1,1,Israel Journal of Ecology and Evolution,15659801 (ISSN),56,,325-351,"Juliano, S.A.",10.1560/IJEE.55.3-4.325,,,,"Competition experiments estimating the relative effects of inter- and intraspecific competition can help to resolve whether interspecific competition results in coexistence or exclusion. For mosquitoes, most such experiments have focused on invasive Aedes albopictus and its interactions with resident Aedes. A meta-analysis of such experiments tested whether the effect of interspecific competition is greater than, less than, or equal to that of intraspecific competition, and whether competitive outcomes are dependent on food quality. For A. albopictus and A. aegypti, there was significant context dependence, with interspecific competitive advantage for A. albopictus with low food quality, and competitive equivalence with high food quality. Meta-analysis of survivorship yielded more significant effects than did estimated rate of increase. Competitive effects and competitive responses of each species yielded similar results. This meta-analysis suggests competitive exclusion of A. aegypti by A. albopictus, and is thus consistent with field sampling, qualitative reviews, and interpretations from individual publications. For A. albopictus and A. triseriatus, most results indicated competitive equivalence and no context dependence, and are thus contrary to previous qualitative reviews and to interpretations from individual publications. For both pairs of species, published results suitable for meta-analysis remain scarce, and better experimental designs and improved analysis and reporting of statistical results are needed. Greater emphasis needs to be placed on estimating species' inter- and intraspecific competitive effects, rather than the more common, but theoretically less interesting, competitive responses. Experiments without low-density controls (i.e., replacement series) are inadequate for comparing competitive effects and responses."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Lajeunesse20112049,On the meta-analysis of response ratios for studies with correlated and multi-group designs,2011,1,1,Ecology,0012-9658,92,,2049-2055,"Lajeunesse, M.J.",10.1890/11-0423.1,,,,"A common effect size metric used to quantify the outcome of experiments for ecological meta-analysis is the response ratio (RR): the log proportional change in the means of a treatment and control group. Estimates of the variance of RR are also important for meta-analysis because they serve as weights when effect sizes are averaged and compared. The variance of an effect size is typically a function of sampling error; however, it can also be influenced by study design. Here, I derive new variances and covariances for RR for several often-encountered experimental designs: when the treatment and control means are correlated; when multiple treatments have a common control; when means are based on repeated measures; and when the study has a correlated factorial design, or is multivariate. These developments are useful for improving the quality of data extracted from studies for metaanalysis and help address some of the common challenges meta-analysts face when quantifying a diversity of experimental designs with the response ratio.  2011 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
