"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","n_duplicates","studyID"
"Gruner2008740","A cross-system synthesis of consumer and nutrient resource control on producer biomass",2008,1,1,"Ecology Letters","1461-023X, 1461-023X",11,NA,"740-755","Gruner, D.S. and Smith, J.E. and Seabloom, E.W. and , S and in, S.A. and Ngai, J.T. and , Hillebr and , H. and Harpole, W.S. and Elser, J.J. and , Clel and , E.E. and Bracken, M.E.S. and Borer, E.T. and Bolker, B.M.","10.1111/j.1461-0248.2008.01192.x",NA,NA,NA,"Nutrient availability and herbivory control the biomass of primary producer communities to varying degrees across ecosystems. Ecological theory, individual experiments in many different systems, and system-specific quantitative reviews have suggested that (i) bottom-up control is pervasive but top-down control is more influential in aquatic habitats relative to terrestrial systems and (ii) bottom-up and top-down forces are interdependent, with statistical interactions that synergize or dampen relative influences on producer biomass. We used simple dynamic models to review ecological mechanisms that generate independent vs. interactive responses of community-level biomass. We calibrated these mechanistic predictions with the metrics of factorial meta-analysis and tested their prevalence across freshwater, marine and terrestrial ecosystems with a comprehensive meta-analysis of 191 factorial manipulations of herbivores and nutrients. Our analysis showed that producer community biomass increased with fertilization across all systems, although increases were greatest in freshwater habitats. Herbivore removal generally increased producer biomass in both freshwater and marine systems, but effects were inconsistent on land. With the exception of marine temperate rocky reef systems that showed positive synergism of nutrient enrichment and herbivore removal, experimental studies showed limited support for statistical interactions between nutrient and herbivory treatments on producer biomass. Top-down control of herbivores, compensatory behaviour of multiple herbivore guilds, spatial and temporal heterogeneity of interactions, and herbivore-mediated nutrient recycling may lower the probability of consistent interactive effects on producer biomass. Continuing studies should expand the temporal and spatial scales of experiments, particularly in understudied terrestrial systems; broaden factorial designs to manipulate independently multiple producer resources (e.g. nitrogen, phosphorus, light), multiple herbivore taxa or guilds (e.g. vertebrates and invertebrates) and multiple trophic levels; and - in addition to measuring producer biomass - assess the responses of species diversity, community composition and nutrient status.  2008 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}",3,"lnRR1"
"Lee_2016_ASPAJOOFINANEN","A meta-analysis of determinants of RFID adoption around the world Organization, technology, and public policy",2016,1,1,"ASIA PACIFIC JOURNAL OF INNOVATION AND ENTREPRENEURSHIP","2071-1395",10,NA,"67-90","Lee, Sabinne and Jung, Kwangho","10.1108/APJIE-12-2016-010",NA,NA,NA,"Purpose - This paper aims to explore various factors associated with radio frequency identification (RFID) adoption with quantitative meta-analysis. More specifically, this paper attempts to measure key variables of RFID adoption derived from Rogers' innovation theory and further examines how state intervention influences the process of RFD adoption. First, this paper compares, relying on a meta-analysis, various mean effect sizes among technological, organizational and environmental factors (i.e. government-driven policies) that Rogers suggested in his innovation model. Design/methodology/approach - In mean effect size analysis, this paper finds that the technological factor is the most powerful factor that affects the RFID adoption. The technological factor is statistically significant across all regions, including North America, Europe and Asia. The organizational factor is significant only in developing countries like Southeast Asian countries and East Asian countries. Environmental factors like government intervention for facilitating RFID adoption are strong enough only in Southeast Asia and Europe. Findings - This paper finds that government's supportive policy is more effective in Europe but not in America, while external pressure is still more effective in Southeast Asia. These results implicate that developmentalism or government-driven policy can be effective not only in developing countries but also in the case of developed countries. In addition, this paper conducts a seemingly unrelated regression (SUR) analysis based on Fisher's standardized score. Originality/value - In SUR analysis, this paper finds that the correlations between RFID adoption intention and three innovation factors vary across industrial areas. More specifically, the manufacturing area shows negative moderating effect on all three equations where correlations between Rogers' innovation factors and RFID adoption intention are meta-dependent variables. Also, RFD adoption is accelerated when the size of the firm is large or the location of the firm is in Southeast Asia. This result implicates that the aspect of technology adoption can be changed by region and type of industry."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR2"
"Yayneshet_2015_JoofArEn","A meta-analysis of the effects of communal livestock grazing on vegetation and soils in sub-Saharan Africa",2015,1,1,"Journal of Arid Environments","0140-1963 DO  - http://dx.doi.org/10.1016/j.jaridenv.2006.12.023",116,NA,"18-24","Yayneshet, T. and Treydte, A.C.","10.1016/j.jaridenv.2015.01.015",NA,NA,NA,"Extensive livestock grazing is one of the most common and widespread forms of land uses in sub Saharan Africa (SSA). Studies assessing the effects of extensive livestock grazing on vegetation and soils in SSA are inconsistent in the direction and magnitude of study outcomes. We applied meta-analysis to identify whether studies so far conducted in the rangeland systems of SSA have detected significant rangeland degradation as approximated by changes in vegetation attributes (reduction in species diversity and richness; decreased biomass and ground cover; increased woody species density and canopy cover) and soil properties (Decreased soil OC, N and P). We quantified results of the included studies using the response ratio, which is the log proportional change in the means of a treatment and a control group. Four moderator variables (elevation (<1500 and 1500m above sea level); plant life form (herbaceous and woody), rainfall amount (<600mm and 600mm), rainfall modality (mono and bimodal), and soil texture (Loam, sandy, sandy loam)) appeared to affect the response of species diversity and richness patterns to different grazing regimes, i.e., communal grazing systems, exclosures, livestock ranches and game reserves. Species diversity and richness values were generally lower in the communal grazing systems compared to the other grazing regimes. Only three moderator variables (rainfall amount and modality, and soil texture) affected the herbaceous basal cover response. Differences in soil OC were highest between communal and exclosure areas, visible at high elevations and under high rainfall. Soil N was influenced by rainfall modality and soil texture. We conclude that the effects of grazing regimes onto the environment cannot be generalized but are specific across vegetation and soil variables and differ considerably with rainfall and elevation.  2015 Elsevier Ltd."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR3"
"Bancroft2008987","A meta-analysis of the effects of ultraviolet B radiation and its synergistic interactions with pH, contaminants, and disease on amphibian survival",2008,1,1,"Conservation Biology","0888-8892",22,NA,"987-996","Bancroft, B.A. and Baker, N.J. and Blaustein, A.R.","10.1111/j.1523-1739.2008.00966.x",NA,NA,NA,"Human alterations to natural systems have resulted in a loss of biological diversity around the world. Amphibian population losses have been more severe than those of birds and mammals. Amphibian population declines are likely due to many factors including habitat loss, disease, contaminants, introduced species and ultraviolet-B (UVB) radiation. The effect of UVB, however, varies widely among species and can vary within populations of the same species or at different life-history stages. This variation has often led to opposing conclusions about how UVB affects amphibians. We used meta-analysis techniques to explore the overall effects of UVB radiation on survival in amphibians. We also used recently developed factorial meta-analytic techniques to quantify potential interactions between UVB radiation and other stressors on amphibians. Ultraviolet-B radiation reduced survival of amphibians by 1.9-fold compared with shielded controls. Larvae were more susceptible to damage from UVB radiation compared with embryos, and salamanders were more susceptible compared with frogs and toads. Furthermore, UVB radiation interacted synergistically with other environmental stressors and resulted in greater than additive effects on survival when 2 stressors were present. Our results suggest that UVB radiation is an important stressor in amphibians, particularly in light of potential synergisms between UVB and other stressors in amphibian habitats.  2008 Society for Conservation Biology."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR4"
"Rivest_2013_AGEC..EN","A meta-analysis reveals mostly neutral influence of scattered trees on pasture yield along with some contrasted effects depending on functional groups and rainfall conditions",2013,1,1,"AGRICULTURE ECOSYSTEMS \& ENVIRONMENT","0167-8809",165,NA,"74-79","Rivest, David and Paquette, Alain and Moreno, Gerardo and Messier, Christian","10.1016/j.agee.2012.12.010",NA,NA,NA,"Scattered trees occurring throughout farmland matrix are prominent features of many human-dominated landscapes around the world, especially in livestock grazing systems. They are keystone structures that may play important roles in maintaining ecosystem functions, services, and farmland biodiversity. However, scattered trees in agricultural landscapes are declining worldwide due to intensive land use. They are often perceived by farmers as having negative impacts on agricultural production. Large-scale assessments in different biomes of agricultural yield in scattered tree ecosystems remain rare. Filling this knowledge gap may help improve decision-making regarding the value of scattered trees in agricultural landscapes. Using meta-analysis, we found that, across four tree functional groups (deciduous, Eucalyptus, N-2-fixing, evergreen oak), mature scattered trees do not compromise pasture yield. The sign and magnitude of scattered tree effects on pasture yield did vary, however, among tree functional groups and according to precipitation levels. Our study suggests that, as drought pressure increases abiotic stress, tree facilitation by N-2-fixing trees, and competition by Eucalyptus, will become the more common interactions between scattered trees and pasture. Management options exist to conserve and restore scattered trees in agricultural landscapes, but new policies are required to support their widespread adoption by farmers. (C) 2012 Elsevier B.V. All rights reserved."," RAYYAN-INCLUSION: {""Alfredo""=>true}",3,"lnRR5"
"Gmez.Aparicio_2014_JoofEc","Advancing plant ecology through meta-analyses",2014,1,1,"Journal of Ecology","",102,NA,"823-827","Gmez-Aparicio, L. and Lortie, C.J.","10.1111/1365-2745.12264",NA,NA,NA,"Summary: The inherent complexity of nature produces a diverse and varied set of outcomes for any given ecological process. However, the advance of ecology requires making generalizations that synthesize current knowledge and guide new basic research and practical applications. Among the synthesis tools available for this specific purpose, meta-analysis is one of the most accurate and powerful methods. This Special Feature examines the use that meta-analysis has received in plant ecology over the last two decades and provides examples of synthesis applied to contemporary topics in different areas of plant ecology from populations to ecosystems. The number of meta-analyses in plant ecology has been increasing rapidly in the last two decades. However, this increase has not been accompanied by a parallel increase in quality. The opening review paper in this Special Feature provides a checklist of quality criteria specific to ecological meta-analysis that will largely contribute to improvement of the methodological and reporting standards of meta-analyses. The following five papers in the Special Feature demonstrate the advantages of application of meta-analysis compared with other techniques of research synthesis. Meta-analysis is applied here to demonstrate the consistency of ecological hypotheses across large spatial scales (e.g. Janzen-Connell hypothesis), understand sources of variation in the magnitude of ecological processes (e.g. herbivory effects on leaf life span, effects of intraspecific genetic diversity on communities and ecosystems), measure synergistic impacts of environmental change drivers (e.g. CO2, drought, land use) or assess research gaps within a certain sub-discipline of plant ecology (e.g. landscape fragmentation). Synthesis. Meta-analysis can contribute to the advance of ecological theory by synthesizing the available evidence on specific topics and informing the scope of generalizations. However, plant ecologists can only take full advantage of this capacity if we improve our knowledge on how and when to conduct a proper meta-analysis, and by avoiding the frequent misuses that have characterized the use of this statistical tool in the ecological literature thus far.  2014 British Ecological Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR6"
"Nykanen_2004_OIKO","Damage-induced changes in woody plants and their effects on insect herbivore performance: a meta-analysis",2004,1,1,"OIKOS","",104,NA,"247-268","Nykanen, H and Koricheva, J","10.1111/j.0030-1299.2004.12768.x",NA,NA,NA,"We conducted a meta-analysis of 68 studies published between 1982 and 2000 in which the responses of woody plants to natural or simulated herbivore damage and/or insect herbivore performance on control and damaged plants were measured. Cumulative meta-analyses revealed dramatic temporal changes in the magnitude and direction of the plant and herbivore responses reported during the last two decades. Studies conducted in the 1980s reported increase in phenolic concentrations, reduction in nutrient concentrations and negative effect on herbivore performance, consistently with the idea of induced resistance. In contrast, in the early 1990s when the idea that some types of plant damage may result in induced susceptibility was generally accepted, studies reported non-significant results or induced susceptibility, and smaller effects on herbivores. The above changes may reflect paradigm shifts in the theory of induced defenses and/or the differences between study systems used in the early and the more recent studies. Overall, plant growth and carbohydrate concentrations were reduced in damaged plants despite enhanced photosynthetic rates. Damage increased the concentrations of carbon and phenolics, while terpene concentrations tended to decrease after damage; changes in nutrient concentrations after damage varied according to nutrient mobility, inherent plant growth rate, ontogenetic stage and plant type (deciduous/evergreen). Early season damage caused more pronounced changes in plants than late season damage, which is in accordance with the assumption that vigorously growing foliage has a greater capacity to respond to damage. Insect growth rate and female pupal weight decreased on previously damaged plants, while herbivore survival, consumption and male pupal weight were not significantly affected. The magnitude and direction of herbivore responses depended on the type of plant, the type of damage, the time interval between the damage and insect feeding (rapid/delayed induced resistance), and the timing of the damage."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR7"
"Morris20071021","Direct and interactive effects of enemies and mutualists on plant performance: A meta-analysis",2007,1,1,"Ecology","0012-9658",88,NA,"1021-1029","Morris, W.F. and Hufbauer, R.A. and Agrawal, A.A. and Bever, J.D. and Borowicz, V.A. and Gilbert, G.S. and Maron, J.L. and Mitchell, C.E. and Parker, I.M. and Power, A.G. and Torchin, M.E. and Vaquez, D.P.","10.1890/06-0442",NA,NA,NA,"Plants engage in multiple, simultaneous interactions with other species; some (enemies) reduce and others (mutualists) enhance plant performance. Moreover, effects of different species may not be independent of one another; for example, enemies may compete, reducing their negative impact on a plant. The magnitudes of positive and negative effects, as well as the frequency of interactive effects and whether they tend to enhance or depress plant performance, have never been comprehensively assessed across the many published studies on plant-enemy and plant-mutualist interactions. We performed a meta-analysis of experiments in which two enemies, two mutualists, or an enemy and a mutualist were manipulated factorially. Specifically, we performed a factorial meta-analysis using the log response ratio. We found that the magnitude of (negative) enemy effects was greater than that of (positive) mutualist effects in isolation, but in the presence of other species, the two effects were of comparable magnitude. Hence studies evaluating single-species effects of mutualists may underestimate the true effects found in natural settings, where multiple interactions are the norm and indirect effects are possible. Enemies did not on average influence the effects on plant performance of other enemies, nor did mutualists influence the effects of mutualists. However, these averages mask significant and large, but positive or negative, interactions in individual studies. In contrast, mutualists ameliorated the negative effects of enemies in a manner that benefited plants; this overall effect was driven by interactions between pathogens and belowground mutualists (bacteria and mycorrhizal fungi). The high frequency of significant interactive effects suggests a widespread potential for diffuse rather than pairwise coevolutionary interactions between plants and their enemies and mutualists. Pollinators and mycorrhizal fungi enhanced plant performance more than did bacterial mutualists. In the greenhouse (but not the field), pathogens reduced plant performance more than did herbivores, pathogens were more damaging to herbaceous than to woody plants, and herbivores were more damaging to crop than to non-crop plants (suggesting evolutionary change in plants or herbivores following crop domestication). We discuss how observed differences in effect size might be confounded with methodological differences among studies.  2007 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}",4,"lnRR8"
"Barto_2010_JoofEc","Does herbivory really suppress mycorrhiza? A meta-analysis",2010,1,1,"Journal of Ecology","",98,NA,"745-753","Barto, E.K. and Rillig, M.C.","10.1111/j.1365-2745.2010.01658.x",NA,NA,NA,"Summary: 1. aged and natural ecosystems, herbivory can have a major impact on plant growth. Defoliation and shoot removal reduce the photosynthetic capacity of plants and are also thought to reduce allocation of carbon to roots and mycorrhizal fungi. However, evidence supporting this assumption remains equivocal.2. ducted a meta-analysis of 99 experiments, from 33 publications, measuring arbuscular and ectomycorrhizal colonization of roots after real or simulated herbivory removed leaves or shoots. We also explored how effects were moderated by the type of mycorrhiza, fertilization, experimental setting (laboratory or field), treatment (real herbivory of shoots, real herbivory of leaves, simulated herbivory of shoots, simulated herbivory of leaves), type of host plant, duration of the experiment and year of publication.3. Overall, herbivory reduced mycorrhizal colonization by about 3 percentage points. Treatment, host plant type and year of publication were the only significant moderators, with real or simulated herbivory of leaves and real herbivory of shoots suppressing colonization, while simulated removal of shoots tended to increase colonization. Herbivory reduced colonization of perennial grasses and deciduous trees by about 4 and 8 percentage points, respectively. Mycorrhizal colonization of annual crops was reduced by about 12 percentage points, although this was not significantly different from zero. Mycorrhizal colonization of perennial forbs and evergreen trees was also unaffected by herbivory, and colonization of mixtures of perennial grasses and forbs increased by about 15 percentage points following herbivory. Effect size increased with year of publication, likely due to shifts in experimental designs towards systems more likely to show positive effects of herbivory on mycorrhiza.4. Synthesis. Our results challenge the carbon-limitation hypothesis and suggest that herbivory, real or simulated, reduces mycorrhizal colonization by biologically meaningful amounts only in a limited subset of systems.  2010 The Authors. Journal compilation  2010 British Ecological Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR9"
"Gornish_2014_JoofVeSc","Foliar functional traits that predict plant biomass response to warming",2014,1,1,"Journal of Vegetation Science","",25,NA,"919-927","Gornish, E.S. and Prather, C.M.","10.1111/jvs.12150",NA,NA,NA,"Question: Ecologists are increasingly interested in making accurate predictions of plant response to climate change. Many studies have attempted to document plant response to warming by grouping species into functional groups. Within functional groups, however, species often display divergent responses. Determining how foliar functional traits might be used to predict plant responses to warming could reduce analytical complexity while maintaining generalizations across systems. Methods: We conducted a meta-analysis on 18 studies (consisting of 38 species) of plant biomass response to experimental or natural warming. We determined whether plant trait estimates associated with the leaf economics spectrum [leaf life span (LL), leaf mass per area (LMA), leaf nitrogen (Nmass), leaf phosphorus (Pmass), photosynthetic capacity (Amax) and stomatal conductance (Gs)] from a global plant database of experimentally unmanipulated plants, GloPNet, could be used to predict biomass response to experimental warming. Results: We found that three single leaf traits (LL, Nmass and Amax) were significant predictors for the response of plant biomass to warming treatments, perhaps due to their association with plant growth rates, adaptation rate and ability, each explaining between 21-46% of the variation in plant biomass responses. The magnitude of response to warming decreased with increasing LL, but increased with increasing Nmass and Amax. We found no linear combination of any of these traits that predicted warming response. Conclusions: These results show that foliar traits can aid in understanding the mechanisms by which plants respond to temperature across species. Because each trait only explained a portion of variation in how plant growth responded to warming, however, future studies that examine how plant communities respond to warming should simultaneously measure multiple leaf traits, especially those most sensitive to warming, across plant species, to determine whether the predictive ability of functional traits changes between different ecosystems or plant taxonomic groups. Using a meta-analysis of plant biomass response to warming, and a global plant database, we found that leaf traits LL, Nmass, and Amax were significant predictors for the response of plant biomass to warming treatments, each explaining between 21-46% of the variation in plant biomass responses. We found no linear combination of any of these traits that predicted warming response.  2014 International Association for Vegetation Science."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR10"
