studyID,title,year,reported_effect_size_used,methods_used,comments
Gurevitch1,Meta-analysis suggests biotic resistance in freshwater environments is driven by consumption rather than competition,2014,,0,
Gurevitch2,How beneficial are nurse plants? A meta-analysis of the effects of cushion plants on high-Andean plant communities,2009,,0,
Gurevitch3,Effects of UVB radiation on marine and freshwater organisms: A synthesis through meta-analysis,2007,,0,argues that method not available for the analyses intended in here
Gurevitch4,"A meta-analysis of the effects of ultraviolet B radiation and its synergistic interactions with pH, contaminants, and disease on amphibian survival",2008,lnRR,1,uses a modification of Hawkes
Gurevitch5,The ontogeny of plant defense and herbivory: Characterizing general patterns using meta-analysis,2010,d,1,caculates something names interaction-d
Gurevitch6,North Atlantic Oscillation signatures in aquatic and terrestrial ecosystems - A meta-analysis,2002,,0,
Gurevitch7,Large-scale climatic signatures in lakes across Europe: A meta-analysis,2007,,0,
Gurevitch8,The Prevalence and Importance of Competition among Coral Reef Fishes,2015,,0,
Gurevitch9,Asymmetry in community regulation: Effects of predators and productivity,2006,lnRR,1,
Gurevitch10,The impact of arbuscular mycorrhizal fungi on plant growth following herbivory: A search for pattern,2013,d,1,uses modifications by Morris
Gurevitch11,Increased food supply mitigates ocean acidification effects on calcification but exacerbates effects on growth,2018,lnRR,1,cites Morris and Lajeunesse too
Gurevitch12,Herbivore vs. nutrient control of marine primary producers: Context-dependent effects,2006,d,1,they also use lnRR but not for factorial ma arguing it is not possible
Gurevitch13,Dispersal and species diversity: A meta-analysis,2006,,0,
Gurevitch14,Gauging the impact of meta-analysis on ecology,2012,,0,
Gurevitch15,The interaction between predation and competition: A review and synthesis,2002,d,1,"it does only so for a figure, I am not 100 percent sure they use the factorial ma formula"
Gurevitch16,Does the combined application of organic and mineral nutrient sources influence maize productivity? A meta-analysis,2011,,0,
Gurevitch17,Interactive and cumulative effects of multiple human stressors in marine systems,2008,d,1,
Gurevitch18,Fine roots and ectomycorrhizas as indicators of environmental change,2007,,0,they argue that there were too few studies available to apply factorial ma
Gurevitch19,Climate change in the Arctic: Using plant functional types in a meta-analysis of field experiments,2002,,0,
