"studyID","title","year","reported_effect_size_used","methods_used","comments"
"Gurevitch5","The ontogeny of plant defense and herbivory: Characterizing general patterns using meta-analysis",2010,"d",1,"caculates something names interaction-d"
"Gurevitch10","The impact of arbuscular mycorrhizal fungi on plant growth following herbivory: A search for pattern",2013,"d",1,"uses modifications by Morris"
"Gurevitch12","Herbivore vs. nutrient control of marine primary producers: Context-dependent effects",2006,"d",1,"they also use lnRR but not for factorial ma arguing it is not possible"
"Gurevitch15","The interaction between predation and competition: A review and synthesis",2002,"d",1,"it does only so for a figure, I am not 100 percent sure they use the factorial ma formula"
"Gurevitch17","Interactive and cumulative effects of multiple human stressors in marine systems",2008,"d",1,""
"Gurevitch21","Understanding of the impact of chemicals on amphibians: A meta-analytic review",2012,"d",1,""
"Gurevitch25","Describing and understanding behavioral responses to multiple stressors and multiple stimuli",2017,"d",1,""
"Gurevitch28","Consumer control as a common driver of coastal vegetation worldwide",2016,"g",1,""
"Gurevitch31","Top-down versus bottom-up control of autotrophic biomass - A meta-analysis on experiments with periphyton",2002,"d",1,""
"Gurevitch32","Light regime and consumer control of autotrophic biomass",2005,"d",1,"argues that the method is unfortunately not available for random effects ma"
"Gurevitch34","Net effects of multiple stressors in freshwater ecosystems: A meta-analysis",2016,"d",1,"but I am not 100 percent sure they use the factorial ma formula"
"Gurevitch40","Multiple-stressor effects on freshwater fish: Importance of taxonomy and life stage",2018,"d",1,""
"Gurevitch47","Geographical and experimental contexts modulate the effect of warming on top-down control: a meta-analysis",2018,"g",1,"they do their own modification of the formula"
"Gurevitch50","The influence of a salinity and nutrient gradient on coastal vs. upland tritrophic complexes",2004,"d",1,""
"Gurevitch51","Direct and interactive effects of enemies and mutualists on plant performance: A meta-analysis",2007,"d",1,"the main analysis is on lnRR but they report it also based on d in Appendix C"
"Gurevitch54","Reconceptualizing synergism and antagonism among multiple stressors",2015,"d",1,"but I am not 100 percent sure they use the factorial ma formula"
"Gurevitch55","A review and meta-analysis of the effects of multiple abiotic stressors on marine embryos and larvae",2015,"d",1,""
"Gurevitch67","Can parasites really reveal environmental impact?",2010,"d",1,""
"Gurevitch68","UV effects that come and go: A global comparison of marine benthic community level impacts",2004,"d",1,""
"Gurevitch70","Consumer versus resource control of species diversity and ecosystem functioning",2002,"d",1,""
"Gurevitch77","Individual and combined effects of multiple global change drivers on terrestrial phosphorus pools: A meta-analysis",2018,"d",1,""
"lnRR1","A cross-system synthesis of consumer and nutrient resource control on producer biomass",2008,"lnRR",1,"cites Gurevitch et al and Hawkes and Sullivan when naming the factorial metaanalysis"
"lnRR4","A meta-analysis of the effects of ultraviolet B radiation and its synergistic interactions with pH, contaminants, and disease on amphibian survival",2008,"lnRR",1,"cites Gurevitch et al and Hawkes and Sullivan when naming the factorial metaanalysis"
"lnRR8","Direct and interactive effects of enemies and mutualists on plant performance: A meta-analysis",2007,"lnRR",1,"cites Gurevitch et al and Hawkes and Sullivan when naming the factorial metaanalysis, and runs Cohens d in the appendix. It extends Hawkes and Sullivan method"
"lnRR11","Fungal symbionts alter plant responses to global change",2013,"lnRR",1,"cites Hawkes and Sullivan only"
"lnRR26","Combined effects of arthropod herbivores and phytopathogens on plant performance",2013,"lnRR",1,"cites Morris"
"lnRR36","Relative importance of competition and plantsoil feedback, their synergy, context dependency and implications for coexistence",2018,"lnRR",1,"cites Morris"
"lnRR37","Root and shoot competition: A meta-analysis",2013,"lnRR",1,"cites Morris"
"lnRR44","Are global warming and ocean acidification conspiring against marine ectotherms? A meta-analysis of the respiratory effects of elevated temperature, high CO2 and their interaction",2016,"lnRR",1,"cites Laujenesse"
"lnRR52","Does the growth response of woody plants to elevated CO2 increase with temperature? A model-oriented meta-analysis",2015,"lnRR",1,"cites Laujenesse"
"lnRR54","Faster turnover of new soil carbon inputs under increased atmospheric CO2",2017,"lnRR",1,"cites Laujenesse"
