studyID,title,year,reported_effect_size_used,methods_used,comments
lnRR1,A cross-system synthesis of consumer and nutrient resource control on producer biomass,2008,lnRR,1,cites Gurevitch et al and Hawkes and Sullivan when naming the factorial metaanalysis
lnRR2,"A meta-analysis of determinants of RFID adoption around the world Organization, technology, and public policy",2016,,0,
lnRR3,A meta-analysis of the effects of communal livestock grazing on vegetation and soils in sub-Saharan Africa,2015,,0,
lnRR4,"A meta-analysis of the effects of ultraviolet B radiation and its synergistic interactions with pH, contaminants, and disease on amphibian survival",2008,lnRR,1,cites Gurevitch et al and Hawkes and Sullivan when naming the factorial metaanalysis
lnRR5,A meta-analysis reveals mostly neutral influence of scattered trees on pasture yield along with some contrasted effects depending on functional groups and rainfall conditions,2013,,0,
lnRR6,Advancing plant ecology through meta-analyses,2014,,0,
lnRR7,Damage-induced changes in woody plants and their effects on insect herbivore performance: a meta-analysis,2004,,0,
lnRR8,Direct and interactive effects of enemies and mutualists on plant performance: A meta-analysis,2007,lnRR,1,"cites Gurevitch et al and Hawkes and Sullivan when naming the factorial metaanalysis, and runs Cohens d in the appendix. It extends Hawkes and Sullivan method"
lnRR9,Does herbivory really suppress mycorrhiza? A meta-analysis,2010,,0,
lnRR10,Foliar functional traits that predict plant biomass response to warming,2014,,0,
lnRR11,Fungal symbionts alter plant responses to global change,2013,lnRR,1,cites Hawkes and Sullivan only
lnRR12,Grazing regulates the spatial variability of periphyton biomass,2008,,0,
lnRR13,Herbivore regulation of plant abundance in aquatic ecosystems,2017,,0,
lnRR14,Invasive plants do not display greater phenotypic plasticity than their native or non-invasive counterparts: a meta-analysis,2011,,0,
lnRR15,Invited review: Direct and indirect effects in herbivore - Periphyton interactions,2004,,0,
lnRR16,Life-history constraints in grassland plant species: A growth-defence trade-off is the norm,2013,,0,
lnRR17,Sources of variation in plant responses to belowground insect herbivory: A meta-analysis,2012,,0,
lnRR18,The intriguing case of Steniscadia poliophaea (Noctuidae): Potent moth enemy of young mahoganytrees in Amazonian forests,2012,,,No access to it it is a book
lnRR19,Using livestock to manage plant composition: A meta-analysis of grazing in California Mediterranean grasslands,2013,,0,
lnRR20,A meta-analysis of arbuscular mycorrhizal effects on plants grown under salt stress,2014,,0,
lnRR21,A meta-analysis of context-dependency in plant response to inoculation with mycorrhizal fungi,2010,,0,says to use something called multifactor metaanalysis
lnRR22,"Are invaders moving targets? The generality and persistence of advantages in size, reproduction, and enemy release in invasive plant species with time since introduction",2007,,0,
lnRR23,Assessing the effect of elevated carbon dioxide on soil carbon: A comparison of four meta-analyses,2009,,0,
lnRR24,Birds help plants: A meta-analysis of top-down trophic cascades caused by avian predators,2011,,0,
lnRR25,"Coexistence, exclusion, or neutrality? A meta-analysis of competition between Aedes albopictus and resident mosquitoes",2010,,0,
lnRR26,Combined effects of arthropod herbivores and phytopathogens on plant performance,2013,lnRR,1,cites Morris
lnRR27,Defoliation by processionary moth significantly reduces tree growth: A quantitative review,2012,,0,
lnRR28,"Floral scents repel facultative flower visitors, but attract obligate ones",2010,,0,
lnRR29,Gender inequality in predispersal seed predation contributes to female seed set advantage in a gynodioecious species,2015,,0,
lnRR30,How context dependent are species interactions?,2014,,0,
lnRR31,Influence of arbuscular mycorrhiza on growth and reproductive response of plants under water deficit: a meta-analysis,2014,,0,
lnRR32,Meta-analysis to determine the effects of plant disease management measures: Review and case studies on soybean and apple,2011,,0,
lnRR33,Most soil trophic guilds increase plant growth: a meta-analytical review,2014,,0,
lnRR34,Plant-soil feedbacks: A meta-analytical review,2008,,0,
lnRR35,Quantitative synthesis of context dependency in ant-plant protection mutualisms,2009,,0,
lnRR36,"Relative importance of competition and plantsoil feedback, their synergy, context dependency and implications for coexistence",2018,lnRR,1,cites Morris
lnRR37,Root and shoot competition: A meta-analysis,2013,lnRR,1,cites Morris
lnRR38,The influence of male ejaculate quantity on female fitness: A meta-analysis,2011,,0,
lnRR39,The role of plant interactions in the restoration of degraded ecosystems: A meta-analysis across life-forms and ecosystems,2009,,0,
lnRR40,A global meta-analysis of yield stability in organic and conservation agriculture,2018,,0,but uses Laujenesse varcov approach
lnRR41,A meta-analysis synthesizing the effects of pesticides on swim speed and activity of aquatic vertebrates,2016,,0,
lnRR42,A Theoretical Model of Psychometric Effects of Faking on Assessment Procedures: Empirical findings and implications for personality at work,2016,,0,
lnRR43,Application of systematic review methods in an overall strategy for evaluating low-dose toxicity from endocrine active chemicals,2017,,,No access to it it is a book
lnRR44,"Are global warming and ocean acidification conspiring against marine ectotherms? A meta-analysis of the respiratory effects of elevated temperature, high CO2 and their interaction",2016,lnRR,1,cites Laujenesse
lnRR45,Biomass production and nitrogen accumulation by hairy vetchcereal rye mixtures: A meta-analysis,2018,,,No access to this paper
lnRR46,Bivalve aquaculture and eelgrass: A global meta-analysis,2019,,0,
lnRR47,Comparison of methodologies to quantify the effects of age and area of marine reserves on the density and size of targeted species,2012,,0,
lnRR48,Costs of immune responses are related to host body size and lifespan,2017,,0,but uses Laujenesse varcov approach
lnRR49,Cover Crops Reduce Nitrate Leaching in Agroecosystems: A Global Meta-Analysis,2018,,,No access to this paper
lnRR50,Differential effects of biological invasions on coastal blue carbon: A global review and meta-analysis,2018,,0,but uses Laujenesse varcov approach
lnRR51,Diversification practices reduce organic to conventional yield gap,2015,,0,
lnRR52,Does the growth response of woody plants to elevated CO2 increase with temperature? A model-oriented meta-analysis,2015,lnRR,1,cites Laujenesse
lnRR53,Effect of crop residue incorporation on soil organic carbon and greenhouse gas emissions in European agricultural soils,2014,,0,
lnRR54,Faster turnover of new soil carbon inputs under increased atmospheric CO2,2017,lnRR,1,cites Laujenesse
lnRR55,Impacts of human-induced environmental change in wetlands on aquatic animals,2018,,0,
lnRR56,"Linking ecology and epidemiology to understand predictors of multi-host responses to an emerging pathogen, the amphibian chytrid fungus",2017,,0,
lnRR57,Lower average yields but similar yield variability in organic versus conventional horticulture. A meta-analysis,2017,,0,
lnRR58,Meta-analysis reveals that the genus pseudomonas can be a better choice of biological control agent against bacterial wilt disease caused by ralstonia solanacearum,2016,,0,
lnRR59,Methodological issues and advances in biological meta-analysis,2012,,0,
lnRR60,Multiple factors influence the role of arbuscular mycorrhizal fungi in soil aggregation-a meta-analysis,2014,,0,
lnRR61,"MycoDB, a global database of plant response to mycorrhizal fungi",2016,,0,
lnRR62,Mycorrhizal symbiotic efficiency on C3 and C4 plants under salinity stress - A meta-analysis,2016,,0,
lnRR63,Nonindependence and sensitivity analyses in ecological and evolutionary meta-analyses,2017,,0,
lnRR64,Polybrominated diphenyl ether (PBDE) neurotoxicity: a systematic review and meta-analysis of animal evidence,2018,,0,
lnRR65,Relating changes in understorey diversity to environmental drivers in an ancient forest in northern Belgium,2014,,0,
lnRR66,Response of natural cyanobacteria and algae assemblages to a nutrient pulse and elevated temperature,2018,,0,
lnRR67,Seed mass predicts migration lag of European trees,2018,,0,
lnRR68,Sex differences in mercury contamination of birds: Testing multiple hypotheses with meta-analysis,2012,,0,
lnRR69,Soil carbon stock change following afforestation in Northern Europe: A meta-analysis,2014,,0,
lnRR70,Soil ionomic and enzymatic responses and correlations to fertilizations amended with and without organic fertilizer in long-term experiments,2016,,0,
lnRR71,Systematic reviews and meta-analyses of human and animal evidence of prenatal diethylhexyl phthalate exposure and changes in male anogenital distance,2018,,0,
lnRR72,The impact of community-based fisheries management (CBFM) on equity and sustainability of small-scale coastal fisheries in the Philippines,2017,,0,
lnRR73,To treat or not to treat: a quantitative review of the effect of biofouling and control methods in shellfish aquaculture to evaluate the necessity of removal,2017,,0,
lnRR74,Use of meta-analysis in forest biodiversity research: key challenges and considerations,2017,,0,
