studyID,title,year,reported_effect_size_used,methods_used,comments
lnRR75,Asymmetry in community regulation: Effects of predators and productivity,2006,lnRR,1,cites Gurevitch et al and Hawkes and Sullivan when naming the factorial metaanalysis
lnRR76,Carbon storage in terrestrial ecosystems: Do browsing and grazing herbivores matter?,2012,,0,
lnRR77,Effects of abiotic factors and species interactions on estimates of male plant function: A meta-analysis,2013,,0,
lnRR78,"Effects of insect attack to stems on plant survival, growth, reproduction and photosynthesis",2015,,0,
lnRR79,Effects of resource availability on tolerance of herbivory: A review and assessment of three opposing models,2007,,0,
lnRR80,Effects of sap-feeding insect herbivores on growth and reproduction of woody plants: A meta-analysis of experimental studies,2010,,0,
lnRR81,Has the Impact of Rising CO2 on Plants been Exaggerated by Meta-Analysis of Free Air CO2 Enrichment Studies?,2016,,0,
lnRR82,Impacts of marine invaders on biodiversity depend on trophic position and functional similarity,2014,,0,cites Hawkes and Sullivan 2001 in the supplements only
lnRR83,Insect herbivory on two willow species in northern Europe is independent of pollution load,2015,,0,
lnRR84,Interactive and cumulative effects of multiple human stressors in marine systems,2008,d,1,cites Gurevitch et al for the factorial metaanalysis
lnRR85,Light regime and consumer control of autotrophic biomass,2005,d,1,cites Gurevitch et al for the factorial metaanalysis
lnRR86,Linking the concept of scale to studies of biological diversity: Evolving approaches and tools,2006,,0,
lnRR87,Macroecological and macroevolutionary patterns of leaf herbivory across vascular plants,2014,,0,
lnRR88,Meta-analysis in plant pathology: Synthesizing research results,2004,,0,
lnRR89,Meta-analysis reveals complex marine biological responses to the interactive effects of ocean acidification and warming,2013,lnRR,1,"cites Gurevitch et al, Hawkes and Sullivan 2001 and Morris et al. 2007 for the factorial metaanalysis"
lnRR90,On the meta-analysis of response ratios for studies with correlated and multi-group designs,2011,lnRR,1,"Lajeunesse 2011 cites Gurevitch et al, Hawkes and Sullivan and Morris et al. for the factorial metaanalysis "
lnRR91,"Ontogenetic differences of herbivory on woody and herbaceous plants: A meta-analysis demonstrating unique effects of herbivory on the young and the old, the slow and the fast",2013,,0,
lnRR92,The effects of invertebrate herbivores on plant population growth: a meta-regression analysis,2016,,0,
lnRR93,The impact of arbuscular mycorrhizal fungi on plant growth following herbivory: A search for pattern,2013,d,1,cites Gurevitch et al and Morris et al when naming the factorial metaanalysis
lnRR94,When can stress facilitate divergence by altering time to flowering?,2015,,0,
lnRR95,Effects of arbuscular mycorrhizal fungi on plant growth depend on root system: a meta-analysis,2015,d,1,cites Morries et al
lnRR96,Evolutionary responses of native plant species to invasive plants: A review,2013,,0,
lnRR97,Increased food supply mitigates ocean acidification effects on calcification but exacerbates effects on growth,2018,lnRR,1,"cites Gurevitch et al , Morris et al and Lajeunesse when naming the factorial metaanalysis"
lnRR98,"Predicting Interactions among Fishing, Ocean Warming, and Ocean Acidification in a Marine System with Whole-Ecosystem Models",2012,d,1,cites Morries et al for interaction analysis not sure it is a proper metaanalysis though
lnRR99,Predicting the effects of nectar robbing on plant reproduction: Implications of pollen limitation and plant mating system,2007,,0,
lnRR100,Sources of inocula influence mycorrhizal colonization of plants in restoration projects: A meta-analysis,2015,,0,
lnRR101,Strength in numbers? Effects of multiple natural enemy species on plant performance,2013,lnRR,1,they use lnRR for interactions under a multiplicateive model and cite Darling and Cote 2008 Ecol Let
lnRR102,The interactive effects of plant microbial symbionts: A review and meta-analysis,2010,lnRR,1,cites Morris et al and presents d effect sizes in supplements
lnRR103,A global synthesis of animal phenological responses to climate change /631/158/2165/2457 /631/158/2039 /129 /141 /139 letter,2018,,0,but uses Laujenesse varcov approach
lnRR104,Adapting with the enemy: Local adaptation in plant-herbivore interactions,2012,lnRR,1,cites Lajeunesse in fig 1 for factorial metaanalysis
lnRR105,An overlooked consequence of dietary mixing: A varied diet reduces interindividual variance in fitness,2015,,0,but uses Laujenesse varcov approach
lnRR106,"Arbuscular mycorrhizal contribution to copper, manganese and iron nutrient concentrations in crops - A meta-analysis",2015,,0,but uses Laujenesse varcov approach
lnRR107,Arbuscular mycorrhizal influence on zinc nutrition in crop plants - A meta-analysis,2014,,0,but uses Laujenesse varcov approach
lnRR108,Bias and correction for the log response ratio in ecological meta-analysis,2015,,0,but uses Laujenesse varcov approach
lnRR109,Biogeographic consequences of nutrient enrichment for plant-herbivore interactions in coastal wetlands,2015,lnRR,1,cites Lajeunesse
lnRR110,Effects of shrub encroachment on soil organic carbon in global grasslands,2016,,0,
lnRR111,Environmental factors driving the effectiveness of European agri-environmental measures in mitigating pollinator loss - a meta-analysis,2013,,0,
lnRR112,"Facilitating systematic reviews, data extraction and meta-analysis with the metagear package for R",2016,,0,
lnRR113,Fire eases imbalances of nitrogen and phosphorus in woody plants,2015,,0,
lnRR114,Global meta-analysis reveals no net change in local-scale plant biodiversity over time,2013,,0,
lnRR115,Meta-evaluation of meta-analysis: Ten appraisal questions for biologists,2017,,0,
lnRR116,No evidence for larger leaf trait plasticity in ecological generalists compared to specialists,2017,,0,but uses Laujenesse varcov approach
lnRR117,"Phenotypic plasticity is a negative, though weak, predictor of the commonness of 105 grassland species",2016,,0,but uses Laujenesse varcov approach
lnRR118,Plant growth promoting rhizobacteria are more effective under drought: a meta-analysis,2017,lnRR,1,cites Lajeunesse
lnRR119,Quantifying variability in removal efficiencies of chemicals in activated sludge wastewater treatment plants-a meta-analytical approach,2018,,0,
lnRR120,Raising the standards for ecological meta-analyses,2012,,0,but uses Laujenesse varcov approach
lnRR121,Soil carbon loss regulated by drought intensity and available substrate: A meta-analysis,2017,,0,but uses Laujenesse varcov approach
lnRR122,The Responses of Plant Leaf CO2/H2O Exchange and Water Use Efficiency to Drought: A Meta-Analysis,2018,,0,
